Report Date/Time: 03/25/2004 01:46 PM,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 1
,,,,"2004 January Voter Registration - January 1, 2004",,,,,
,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,ACTIVE,,,,,
,county,Precincts,Date/Period,,Democratic,Libertarian,Republican,Other,TOTAL
,Apache,45,3-Jul,,26053,107,6684,6192,39036
,Apache,45,3-Oct,,26240,108,6687,6246,39281
,Apache,45,4-Jan,,26256,112,6606,6226,39200
,Cochise,64,3-Jul,,19978,201,19275,9988,49442
,Cochise,64,3-Oct,,20244,206,19611,10319,50380
,Cochise,64,4-Jan,,20665,210,19770,10520,51165
,Coconino,82,3-Jul,,24767,424,18305,19561,63057
,Coconino,82,3-Oct,,24760,435,18303,19560,63058
,Coconino,82,4-Jan,,25023,544,18281,19573,63421
,Gila,40,3-Jul,,15290,116,10591,4247,30244
,Gila,40,3-Oct,,15148,120,10552,4353,30173
,Gila,40,4-Jan,,12451,85,8467,3520,24523
,Graham,18,3-Jul,,7639,31,4793,1850,14313
,Graham,18,3-Oct,,7607,30,4804,1870,14311
,Graham,18,4-Jan,,7627,30,4907,1904,14468
,Greenlee,8,3-Jul,,3009,10,802,249,4070
,Greenlee,8,3-Oct,,2998,9,815,250,4072
,Greenlee,8,4-Jan,,2959,12,811,249,4031
,La Paz,13,3-Jul,,2644,13,2648,1364,6669
,La Paz,13,3-Oct,,2650,13,2650,1392,6705
,La Paz,13,4-Jan,,2623,12,2653,1440,6728
,Maricopa,"1,030",3-Jul,,402168,8998,587584,291707,1290457
,Maricopa,"1,030",3-Oct,,405838,9475,591679,300419,1307411
,Maricopa,"1,030",4-Jan,,408244,9812,591710,304945,1314711
,Mohave,73,3-Jul,,24509,243,36878,20593,82223
,Mohave,73,3-Oct,,24644,254,37217,21117,83232
,Mohave,73,4-Jan,,24627,255,37074,21110,83066
,Navajo,70,3-Jul,,23705,136,16470,9801,50112
,Navajo,70,3-Oct,,23668,142,16486,9851,50147
,Navajo,70,4-Jan,,23515,144,16357,9800,49816
,Pima,406,3-Jul,,149288,3735,129695,86581,369299
,Pima,406,3-Oct,,151326,3821,130759,90418,376324
,Pima,406,4-Jan,,155306,3998,130421,91616,381341
,Pinal,65,3-Jul,,32384,292,22314,15012,70002
,Pinal,65,3-Oct,,32206,310,22650,15697,70863
,Pinal,65,4-Jan,,31903,311,22331,15670,70215
,Santa Cruz,24,3-Jul,,10583,105,3627,3194,17509
,Santa Cruz,24,3-Oct,,10621,104,3652,3263,17640
,Santa Cruz,24,4-Jan,,10622,107,3656,3302,17687
,Yavapai,103,3-Jul,,19074,416,39573,20234,79297
,Yavapai,103,3-Oct,,19231,492,39590,20596,79909
,Yavapai,103,4-Jan,,20230,679,39707,20942,81558
,Yuma,41,3-Jul,,21335,106,17009,8385,46835
,Yuma,42,3-Oct,,20797,109,16556,8619,46081
,Yuma,42,4-Jan,,20057,117,16574,8829,45577
