Report Date/Time: 01/27/2009 02:28 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 1
,,,,,"2009 January Voter Registration - January 1, 2009",,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,ACTIVE,,,,,
,county,Precincts,Date/Period,Green,,Democratic,Libertarian,Republican,Other,TOTAL
,Apache,45,8-Jan,*,,24819,188,6541,7888,39436
,Apache,45,G.E. 2008,32,,25940,152,6652,8649,41425
,Apache,45,9-Jan,34,,26676,155,6844,9063,42772
,Cochise,64,8-Jan,*,,21014,229,24707,17552,63502
,Cochise,64,G.E. 2008,125,,23397,269,27470,19454,70715
,Cochise,64,9-Jan,125,,23725,281,27829,20099,72059
,Coconino,85,8-Jan,*,,23841,1014,16726,17800,59381
,Coconino,85,G.E. 2008,278,,29124,926,19387,20140,69855
,Coconino,85,9-Jan,300,,30145,955,19885,21297,72582
,Gila,39,8-Jan,*,,12906,120,10316,5611,28953
,Gila,39,G.E. 2008,25,,13494,134,11263,6216,31132
,Gila,39,9-Jan,24,,13555,136,11380,6416,31511
,Graham,18,8-Jan,*,,7314,41,5776,2629,15760
,Graham,18,G.E. 2008,7,,7622,43,6872,2738,17282
,Graham,18,9-Jan,7,,7637,44,6905,2816,17409
,Greenlee,8,8-Jan,*,,2614,11,880,552,4057
,Greenlee,8,G.E. 2008,1,,2710,10,991,625,4337
,Greenlee,8,9-Jan,1,,2706,10,1018,654,4389
,La Paz,12,8-Jan,*,,2702,25,2898,2194,7819
,La Paz,12,G.E. 2008,8,,2789,27,3059,2312,8195
,La Paz,12,9-Jan,10,,2856,27,3144,2417,8454
,Maricopa,"1,142",8-Jan,*,,459793,9956,639373,432633,1541755
,Maricopa,"1,142",G.E. 2008,"1,813",,543899,10452,692077,482645,1730886
,Maricopa,"1,142",9-Jan,"1,940",,561752,10853,707936,506934,1789415
,Mohave,73,8-Jan,*,,25027,406,39539,29653,94625
,Mohave,73,G.E. 2008,70,,28061,447,43795,32827,105200
,Mohave,73,9-Jan,78,,28392,460,44332,33777,107039
,Navajo,70,8-Jan,*,,23126,395,16958,12013,52492
,Navajo,70,G.E. 2008,40,,25785,383,19007,13313,58528
,Navajo,70,9-Jan,43,,26231,383,19289,13677,59623
,Pima,409,8-Jan,*,,179454,3429,148322,134603,465808
,Pima,417,G.E. 2008,"1,193",,199441,3245,157715,135073,496667
,Pima,417,9-Jan,"1,191",,200032,3205,157978,136498,498904
,Pinal,74,8-Jan,*,,43828,645,42309,37693,124475
,Pinal,88,G.E. 2008,119,,51956,719,50111,42799,145704
,Pinal,88,9-Jan,132,,53893,756,52193,46132,153106
,Santa Cruz,24,8-Jan,*,,11471,130,3935,5473,21009
,Santa Cruz,24,G.E. 2008,23,,11816,122,3931,5395,21287
,Santa Cruz,24,9-Jan,23,,11950,122,3959,5449,21503
,Yavapai,104,8-Jan,*,,26421,880,49394,31112,107807
,Yavapai,112,G.E. 2008,232,,30431,854,54171,33235,118923
,Yavapai,112,9-Jan,247,,30973,877,55015,34878,121990
,Yuma,42,8-Jan,*,,25085,409,21776,17394,64664
,Yuma,42,G.E. 2008,43,,25787,370,22086,19029,67315
,Yuma,42,9-Jan,43,,26603,362,22902,19988,69898
