GEO_ID,NAME,DP05_0001E,DP05_0001M,DP05_0001PE,DP05_0001PM,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0004E,DP05_0004M,DP05_0004PE,DP05_0004PM,DP05_0005E,DP05_0005M,DP05_0005PE,DP05_0005PM,DP05_0006E,DP05_0006M,DP05_0006PE,DP05_0006PM,DP05_0007E,DP05_0007M,DP05_0007PE,DP05_0007PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM,DP05_0009E,DP05_0009M,DP05_0009PE,DP05_0009PM,DP05_0010E,DP05_0010M,DP05_0010PE,DP05_0010PM,DP05_0011E,DP05_0011M,DP05_0011PE,DP05_0011PM,DP05_0012E,DP05_0012M,DP05_0012PE,DP05_0012PM,DP05_0013E,DP05_0013M,DP05_0013PE,DP05_0013PM,DP05_0014E,DP05_0014M,DP05_0014PE,DP05_0014PM,DP05_0015E,DP05_0015M,DP05_0015PE,DP05_0015PM,DP05_0016E,DP05_0016M,DP05_0016PE,DP05_0016PM,DP05_0017E,DP05_0017M,DP05_0017PE,DP05_0017PM,DP05_0018E,DP05_0018M,DP05_0018PE,DP05_0018PM,DP05_0019E,DP05_0019M,DP05_0019PE,DP05_0019PM,DP05_0020E,DP05_0020M,DP05_0020PE,DP05_0020PM,DP05_0021E,DP05_0021M,DP05_0021PE,DP05_0021PM,DP05_0022E,DP05_0022M,DP05_0022PE,DP05_0022PM,DP05_0023E,DP05_0023M,DP05_0023PE,DP05_0023PM,DP05_0024E,DP05_0024M,DP05_0024PE,DP05_0024PM,DP05_0025E,DP05_0025M,DP05_0025PE,DP05_0025PM,DP05_0026E,DP05_0026M,DP05_0026PE,DP05_0026PM,DP05_0027E,DP05_0027M,DP05_0027PE,DP05_0027PM,DP05_0028E,DP05_0028M,DP05_0028PE,DP05_0028PM,DP05_0029E,DP05_0029M,DP05_0029PE,DP05_0029PM,DP05_0030E,DP05_0030M,DP05_0030PE,DP05_0030PM,DP05_0031E,DP05_0031M,DP05_0031PE,DP05_0031PM,DP05_0032E,DP05_0032M,DP05_0032PE,DP05_0032PM,DP05_0033E,DP05_0033M,DP05_0033PE,DP05_0033PM,DP05_0034E,DP05_0034M,DP05_0034PE,DP05_0034PM,DP05_0035E,DP05_0035M,DP05_0035PE,DP05_0035PM,DP05_0036E,DP05_0036M,DP05_0036PE,DP05_0036PM,DP05_0037E,DP05_0037M,DP05_0037PE,DP05_0037PM,DP05_0038E,DP05_0038M,DP05_0038PE,DP05_0038PM,DP05_0039E,DP05_0039M,DP05_0039PE,DP05_0039PM,DP05_0040E,DP05_0040M,DP05_0040PE,DP05_0040PM,DP05_0041E,DP05_0041M,DP05_0041PE,DP05_0041PM,DP05_0042E,DP05_0042M,DP05_0042PE,DP05_0042PM,DP05_0043E,DP05_0043M,DP05_0043PE,DP05_0043PM,DP05_0044E,DP05_0044M,DP05_0044PE,DP05_0044PM,DP05_0045E,DP05_0045M,DP05_0045PE,DP05_0045PM,DP05_0046E,DP05_0046M,DP05_0046PE,DP05_0046PM,DP05_0047E,DP05_0047M,DP05_0047PE,DP05_0047PM,DP05_0048E,DP05_0048M,DP05_0048PE,DP05_0048PM,DP05_0049E,DP05_0049M,DP05_0049PE,DP05_0049PM,DP05_0050E,DP05_0050M,DP05_0050PE,DP05_0050PM,DP05_0051E,DP05_0051M,DP05_0051PE,DP05_0051PM,DP05_0052E,DP05_0052M,DP05_0052PE,DP05_0052PM,DP05_0053E,DP05_0053M,DP05_0053PE,DP05_0053PM,DP05_0054E,DP05_0054M,DP05_0054PE,DP05_0054PM,DP05_0055E,DP05_0055M,DP05_0055PE,DP05_0055PM,DP05_0056E,DP05_0056M,DP05_0056PE,DP05_0057PE,DP05_0056PM,DP05_0057E,DP05_0057M,DP05_0057PM,DP05_0058E,DP05_0058M,DP05_0058PE,DP05_0058PM,DP05_0059E,DP05_0059M,DP05_0059PE,DP05_0059PM,DP05_0060E,DP05_0060M,DP05_0060PE,DP05_0060PM,DP05_0061E,DP05_0061M,DP05_0061PE,DP05_0061PM,DP05_0062E,DP05_0062M,DP05_0062PE,DP05_0062PM,DP05_0063E,DP05_0063M,DP05_0063PE,DP05_0063PM,DP05_0064E,DP05_0064M,DP05_0064PE,DP05_0064PM,DP05_0065E,DP05_0065M,DP05_0065PE,DP05_0065PM,DP05_0066E,DP05_0066M,DP05_0066PE,DP05_0066PM,DP05_0067E,DP05_0067M,DP05_0067PE,DP05_0067PM,DP05_0068E,DP05_0068M,DP05_0068PE,DP05_0068PM,DP05_0069E,DP05_0069M,DP05_0069PE,DP05_0069PM,DP05_0070E,DP05_0070M,DP05_0070PE,DP05_0070PM,DP05_0071E,DP05_0071M,DP05_0071PE,DP05_0071PM,DP05_0072E,DP05_0072M,DP05_0072PE,DP05_0072PM,DP05_0073E,DP05_0073M,DP05_0073PE,DP05_0073PM,DP05_0074E,DP05_0074M,DP05_0074PE,DP05_0074PM,DP05_0075E,DP05_0075M,DP05_0075PE,DP05_0075PM,DP05_0076E,DP05_0076M,DP05_0076PE,DP05_0076PM,DP05_0077E,DP05_0077M,DP05_0077PE,DP05_0077PM,DP05_0078E,DP05_0078M,DP05_0078PE,DP05_0078PM,DP05_0079E,DP05_0079M,DP05_0079PE,DP05_0079PM,DP05_0080E,DP05_0080M,DP05_0080PE,DP05_0080PM,DP05_0081E,DP05_0081M,DP05_0081PE,DP05_0081PM
0500000US04001,"Apache County, Arizona",70312,*****,70312,(X),35040,97,49.8,0.1,35272,97,50.2,0.1,5862,2,8.3,0.1,5541,366,7.9,0.5,6915,377,9.8,0.5,7253,156,10.3,0.2,4552,141,6.5,0.2,7448,144,10.6,0.2,8200,150,11.7,0.2,9498,125,13.5,0.2,3660,337,5.2,0.5,3652,335,5.2,0.5,4852,145,6.9,0.2,2130,156,3,0.2,749,157,1.1,0.2,31.5,0.3,(X),(X),47426,41,67.5,0.1,43566,260,62,0.4,9797,274,13.9,0.4,7731,128,11,0.2,47426,41,47426,(X),23440,102,49.4,0.2,23986,74,50.6,0.2,7731,128,7731,(X),3575,78,46.2,0.5,4156,68,53.8,0.5,70312,*****,70312,(X),69521,253,98.9,0.4,791,253,1.1,0.4,69521,253,98.9,0.4,16895,323,24,0.5,179,98,0.3,0.1,51339,309,73,0.4,45,73,0.1,0.1,14,21,0,0.1,48938,674,69.6,1,5,7,0,0.1,226,35,0.3,0.1,47,47,0.1,0.1,55,51,0.1,0.1,67,57,0.1,0.1,6,10,0,0.1,3,5,0,0.1,0,132,0,0.1,48,37,0.1,0.1,61,40,0.1,0.1,33,32,0,0.1,0,132,0,0.1,9,14,0,0.1,19,21,0,0.1,821,247,1.2,0.4,791,253,1.1,0.4,122,97,0.2,0.1,514,215,0.7,0.3,0,132,0,0,0.1,35,26,0.1,70312,*****,70312,(X),17608,408,25,0.6,336,28,0.5,0.1,51916,202,73.8,0.3,259,132,0.4,0.1,112,69,0.2,0.1,890,247,1.3,0.4,70312,*****,70312,(X),4210,*****,6,*****,2827,459,4,0.7,42,53,0.1,0.1,153,185,0.2,0.3,1188,436,1.7,0.6,66102,*****,94,*****,13992,19,19.9,0.1,179,98,0.3,0.1,50914,242,72.4,0.3,226,35,0.3,0.1,61,40,0.1,0.1,29,40,0,0.1,701,255,1,0.4,21,18,0,0.1,680,253,1,0.4,32468,250,(X),(X)
0500000US04003,"Cochise County, Arizona",129268,*****,129268,(X),65729,141,50.8,0.1,63539,141,49.2,0.1,8402,85,6.5,0.1,8006,468,6.2,0.4,8111,446,6.3,0.3,9471,160,7.3,0.1,8152,156,6.3,0.1,15619,251,12.1,0.2,15110,212,11.7,0.2,17716,144,13.7,0.1,8769,444,6.8,0.3,8240,453,6.4,0.4,12668,120,9.8,0.1,6861,310,5.3,0.2,2143,289,1.7,0.2,39.7,0.4,(X),(X),99195,51,76.7,0.1,93283,361,72.2,0.3,26232,384,20.3,0.3,21672,84,16.8,0.1,99195,51,99195,(X),50188,97,50.6,0.1,49007,59,49.4,0.1,21672,84,21672,(X),10344,63,47.7,0.2,11328,51,52.3,0.2,129268,*****,129268,(X),123982,632,95.9,0.5,5286,632,4.1,0.5,123982,632,95.9,0.5,107638,1183,83.3,0.9,4939,326,3.8,0.3,1381,182,1.1,0.1,273,166,0.2,0.1,18,25,0,0.1,119,85,0.1,0.1,13,18,0,0.1,2486,270,1.9,0.2,134,102,0.1,0.1,302,255,0.2,0.2,644,206,0.5,0.2,351,160,0.3,0.1,732,192,0.6,0.1,123,95,0.1,0.1,200,130,0.2,0.1,365,86,0.3,0.1,116,71,0.1,0.1,109,93,0.1,0.1,123,82,0.1,0.1,17,24,0,0.1,7173,1045,5.5,0.8,5286,632,4.1,0.5,1034,286,0.8,0.2,757,162,0.6,0.1,840,259,0.6,0.1,0.2,193,170,0.1,129268,*****,129268,(X),112144,1163,86.8,0.9,6507,177,5,0.1,2713,291,2.1,0.2,3764,202,2.9,0.2,791,210,0.6,0.2,8917,1129,6.9,0.9,129268,*****,129268,(X),41087,*****,31.8,*****,37451,680,29,0.5,1206,414,0.9,0.3,128,86,0.1,0.1,2302,470,1.8,0.4,88181,*****,68.2,*****,76305,120,59,0.1,4659,289,3.6,0.2,1068,124,0.8,0.1,2373,243,1.8,0.2,347,84,0.3,0.1,172,109,0.1,0.1,3257,351,2.5,0.3,154,72,0.1,0.1,3103,345,2.4,0.3,58252,518,(X),(X)
0500000US04005,"Coconino County, Arizona",131824,*****,131824,(X),65445,81,49.6,0.1,66379,81,50.4,0.1,8984,69,6.8,0.1,8679,477,6.6,0.4,8552,497,6.5,0.4,13349,153,10.1,0.1,15617,176,11.8,0.1,17515,204,13.3,0.2,15800,119,12,0.1,18104,110,13.7,0.1,8372,354,6.4,0.3,5617,355,4.3,0.3,6930,50,5.3,0.1,3075,221,2.3,0.2,1230,219,0.9,0.2,30.8,0.2,(X),(X),99713,38,75.6,0.1,87512,692,66.4,0.5,14431,310,10.9,0.2,11235,74,8.5,0.1,99713,38,99713,(X),48901,66,49,0.1,50812,68,51,0.1,11235,74,11235,(X),5168,52,46,0.4,6067,60,54,0.4,131824,*****,131824,(X),128241,545,97.3,0.4,3583,545,2.7,0.4,128241,545,97.3,0.4,81677,976,62,0.7,1417,200,1.1,0.2,35894,406,27.2,0.3,164,134,0.1,0.1,25,27,0,0.1,30643,964,23.2,0.7,64,79,0,0.1,1978,142,1.5,0.1,429,166,0.3,0.1,636,225,0.5,0.2,288,146,0.2,0.1,226,115,0.2,0.1,220,144,0.2,0.1,117,84,0.1,0.1,62,65,0,0.1,220,124,0.2,0.1,135,123,0.1,0.1,21,24,0,0.1,0,132,0,0.1,64,53,0,0.1,7055,984,5.4,0.7,3583,545,2.7,0.4,645,219,0.5,0.2,1387,399,1.1,0.3,399,181,0.3,0.1,0.1,67,74,0.1,131824,*****,131824,(X),84921,1062,64.4,0.8,2206,166,1.7,0.1,37714,243,28.6,0.2,2540,157,1.9,0.1,434,153,0.3,0.1,7827,1012,5.9,0.8,131824,*****,131824,(X),17334,*****,13.1,*****,15543,333,11.8,0.3,211,122,0.2,0.1,109,75,0.1,0.1,1471,331,1.1,0.3,114490,*****,86.9,*****,72977,232,55.4,0.2,1356,195,1,0.1,35297,365,26.8,0.3,1919,139,1.5,0.1,144,54,0.1,0.1,298,272,0.2,0.2,2499,428,1.9,0.3,109,87,0.1,0.1,2390,428,1.8,0.3,62293,702,(X),(X)
0500000US04007,"Gila County, Arizona",53272,*****,53272,(X),26401,*****,49.6,*****,26871,*****,50.4,*****,3144,*****,5.9,*****,3334,403,6.3,0.8,2999,403,5.6,0.8,3701,282,6.9,0.5,2338,260,4.4,0.5,4411,242,8.3,0.5,5277,192,9.9,0.4,7609,*****,14.3,*****,4184,410,7.9,0.8,4391,410,8.2,0.8,6850,88,12.9,0.2,3840,265,7.2,0.5,1194,259,2.2,0.5,46.9,0.3,(X),(X),41524,*****,77.9,*****,39616,293,74.4,0.5,14441,329,27.1,0.6,11884,*****,22.3,*****,41524,*****,41524,(X),20381,*****,49.1,*****,21143,*****,50.9,*****,11884,*****,11884,(X),5670,*****,47.7,*****,6214,*****,52.3,*****,53272,*****,53272,(X),52033,426,97.7,0.8,1239,426,2.3,0.8,52033,426,97.7,0.8,41791,518,78.4,1,136,80,0.3,0.1,7821,296,14.7,0.6,24,28,0,0.1,0,132,0,0.1,731,296,1.4,0.6,0,132,0,0.1,70,61,0.1,0.1,0,132,0,0.1,34,49,0.1,0.1,9,16,0,0.1,13,20,0,0.1,0,132,0,0.1,0,132,0,0.1,14,22,0,0.1,85,99,0.2,0.2,0,132,0,0.1,0,132,0,0.1,32,48,0.1,0.1,53,83,0.1,0.2,2130,449,4,0.8,1239,426,2.3,0.8,61,54,0.1,0.1,462,245,0.9,0.5,105,84,0.2,0.1,0.2,46,73,0.1,53272,*****,53272,(X),42919,535,80.6,1,438,259,0.8,0.5,8520,297,16,0.6,187,100,0.4,0.2,116,109,0.2,0.2,2522,519,4.7,1,53272,*****,53272,(X),9344,*****,17.5,*****,7807,458,14.7,0.9,43,51,0.1,0.1,31,33,0.1,0.1,1463,455,2.7,0.9,43928,*****,82.5,*****,35251,122,66.2,0.2,136,80,0.3,0.1,7738,305,14.5,0.6,70,61,0.1,0.1,85,99,0.2,0.2,113,98,0.2,0.2,535,280,1,0.5,51,59,0.1,0.1,484,275,0.9,0.5,32142,177,(X),(X)
0500000US04009,"Graham County, Arizona",36030,*****,36030,(X),19269,130,53.5,0.4,16761,130,46.5,0.4,2924,43,8.1,0.1,2790,260,7.7,0.7,2672,264,7.4,0.7,3080,183,8.5,0.5,3056,172,8.5,0.5,5061,120,14,0.3,4445,92,12.3,0.3,4331,110,12,0.3,1970,214,5.5,0.6,1452,212,4,0.6,2301,51,6.4,0.1,1411,150,3.9,0.4,537,145,1.5,0.4,31.5,0.6,(X),(X),25814,94,71.6,0.3,23590,238,65.5,0.7,5058,174,14,0.5,4249,79,11.8,0.2,25814,94,25814,(X),14082,162,54.6,0.5,11732,96,45.4,0.5,4249,79,4249,(X),1941,23,45.7,0.8,2308,71,54.3,0.8,36030,*****,36030,(X),35267,244,97.9,0.7,763,244,2.1,0.7,35267,244,97.9,0.7,25172,541,69.9,1.5,813,52,2.3,0.1,5373,204,14.9,0.6,12,19,0,0.1,0,132,0,0.1,462,206,1.3,0.6,34,38,0.1,0.1,193,47,0.5,0.1,0,132,0,0.1,84,56,0.2,0.2,65,50,0.2,0.1,0,132,0,0.1,0,132,0,0.1,22,33,0.1,0.1,22,33,0.1,0.1,52,63,0.1,0.2,8,13,0,0.1,44,62,0.1,0.2,0,132,0,0.1,0,132,0,0.1,3664,601,10.2,1.7,763,244,2.1,0.7,25,31,0.1,0.1,264,164,0.7,0.5,77,47,0.2,0.1,0.1,53,49,0.1,36030,*****,36030,(X),25771,574,71.5,1.6,912,82,2.5,0.2,5822,273,16.2,0.8,270,132,0.7,0.1,52,63,0.1,0.2,3987,603,11.1,1.7,36030,*****,36030,(X),10727,*****,29.8,*****,9533,362,26.5,1,41,40,0.1,0.1,9,14,0,0.1,1144,363,3.2,1,25303,*****,70.2,*****,18971,132,52.7,0.1,760,132,2.1,0.1,5036,120,14,0.3,193,47,0.5,0.1,52,63,0.1,0.2,0,132,0,0.1,291,126,0.8,0.4,17,25,0,0.1,274,124,0.8,0.3,12621,158,(X),(X)
0500000US04011,"Greenlee County, Arizona",8318,*****,8318,(X),4416,83,53.1,1,3902,83,46.9,1,676,35,8.1,0.4,591,106,7.1,1.3,744,109,8.9,1.3,642,92,7.7,1.1,430,99,5.2,1.2,1059,93,12.7,1.1,1080,120,13,1.4,1205,137,14.5,1.6,603,96,7.2,1.2,337,102,4.1,1.2,504,42,6.1,0.5,360,59,4.3,0.7,87,37,1,0.4,35.2,0.8,(X),(X),5901,21,70.9,0.3,5612,113,67.5,1.4,1107,77,13.3,0.9,951,20,11.4,0.2,5901,21,5901,(X),3075,51,52.1,0.8,2826,44,47.9,0.8,951,20,951,(X),433,17,45.5,1.1,518,11,54.5,1.1,8318,*****,8318,(X),8055,142,96.8,1.7,263,142,3.2,1.7,8055,142,96.8,1.7,6866,286,82.5,3.4,24,31,0.3,0.4,214,96,2.6,1.2,15,24,0.2,0.3,0,132,0,0.5,130,84,1.6,1,13,17,0.2,0.2,69,50,0.8,0.6,0,132,0,0.5,12,18,0.1,0.2,19,26,0.2,0.3,0,132,0,0.5,0,132,0,0.5,0,132,0,0.5,38,45,0.5,0.5,14,24,0.2,0.3,14,24,0.2,0.3,0,132,0,0.5,0,132,0,0.5,0,132,0,0.5,868,279,10.4,3.4,263,142,3.2,1.7,11,19,0.1,0.2,76,53,0.9,0.6,52,50,0.6,0,0.6,0,132,0.5,8318,*****,8318,(X),7129,294,85.7,3.5,35,44,0.4,0.5,290,88,3.5,1.1,121,78,1.5,0.9,14,24,0.2,0.3,992,283,11.9,3.4,8318,*****,8318,(X),3821,*****,45.9,*****,3383,241,40.7,2.9,0,132,0,0.5,0,132,0,0.5,438,241,5.3,2.9,4497,*****,54.1,*****,4072,132,49,0.5,12,18,0.1,0.2,203,90,2.4,1.1,57,47,0.7,0.6,14,24,0.2,0.3,0,132,0,0.5,139,72,1.7,0.9,0,132,0,0.5,139,72,1.7,0.9,4190,17,(X),(X)
0500000US04012,"La Paz County, Arizona",20549,*****,20549,(X),10614,67,51.7,0.3,9935,67,48.3,0.3,1035,20,5,0.1,850,133,4.1,0.6,1127,139,5.5,0.7,830,186,4,0.9,859,185,4.2,0.9,1741,251,8.5,1.2,1898,141,9.2,0.7,2450,89,11.9,0.4,1113,244,5.4,1.2,2066,250,10.1,1.2,4125,94,20.1,0.5,2023,188,9.8,0.9,432,168,2.1,0.8,52.5,0.5,(X),(X),16891,63,82.2,0.3,16532,264,80.5,1.3,7803,205,38,1,6580,65,32,0.3,16891,63,16891,(X),8668,66,51.3,0.2,8223,29,48.7,0.2,6580,65,6580,(X),3521,29,53.5,0.3,3059,45,46.5,0.3,20549,*****,20549,(X),20192,142,98.3,0.7,357,142,1.7,0.7,20192,142,98.3,0.7,14481,374,70.5,1.8,211,31,1,0.2,2444,113,11.9,0.5,33,39,0.2,0.2,0,132,0,0.2,270,96,1.3,0.5,6,8,0,0.1,164,4,0.8,0.1,0,132,0,0.2,0,132,0,0.2,55,58,0.3,0.3,0,132,0,0.2,3,8,0,0.1,0,132,0,0.2,106,60,0.5,0.3,16,26,0.1,0.1,16,26,0.1,0.1,0,132,0,0.2,0,132,0,0.2,0,132,0,0.2,2876,395,14,1.9,357,142,1.7,0.7,17,22,0.1,0.1,210,126,1,0.6,2,4,0,0,0.1,0,132,0.2,20549,*****,20549,(X),14811,396,72.1,1.9,254,41,1.2,0.2,2703,103,13.2,0.5,170,7,0.8,0.1,16,26,0.1,0.1,2978,389,14.5,1.9,20549,*****,20549,(X),4649,*****,22.6,*****,4460,88,21.7,0.4,63,49,0.3,0.2,5,9,0,0.1,121,70,0.6,0.3,15900,*****,77.4,*****,12933,75,62.9,0.4,197,25,1,0.1,2356,94,11.5,0.5,164,4,0.8,0.1,16,26,0.1,0.1,46,75,0.2,0.4,188,89,0.9,0.4,0,132,0,0.2,188,89,0.9,0.4,16007,117,(X),(X)
0500000US04013,"Maricopa County, Arizona",3751410,*****,3751410,(X),1860668,*****,49.6,*****,1890742,*****,50.4,*****,293114,*****,7.8,*****,278364,2582,7.4,0.1,269601,2582,7.2,0.1,270284,102,7.2,0.1,264008,103,7,0.1,548730,*****,14.6,*****,528928,*****,14.1,*****,486559,*****,13,*****,201664,2170,5.4,0.1,172694,2182,4.6,0.1,235898,108,6.3,0.1,148184,1344,4,0.1,53382,1352,1.4,0.1,34.1,0.1,(X),(X),2746920,*****,73.2,*****,2589736,1473,69,0.1,534625,1878,14.3,0.1,437464,129,11.7,0.1,2746920,*****,2746920,(X),1346893,*****,49,*****,1400027,*****,51,*****,437464,129,437464,(X),192910,98,44.1,0.1,244554,81,55.9,0.1,3751410,*****,3751410,(X),3658211,3623,97.5,0.1,93199,3623,2.5,0.1,3658211,3623,97.5,0.1,3018608,7846,80.5,0.2,177978,1596,4.7,0.1,68540,1627,1.8,0.1,2135,500,0.1,0.1,511,222,0,0.1,23910,1861,0.6,0.1,1233,429,0,0.1,124763,1596,3.3,0.1,29071,2090,0.8,0.1,25612,1864,0.7,0.1,22651,1871,0.6,0.1,6997,823,0.2,0.1,10241,1168,0.3,0.1,16575,1337,0.4,0.1,13616,1639,0.4,0.1,7588,395,0.2,0.1,2128,481,0.1,0.1,1130,419,0,0.1,1225,472,0,0.1,3105,681,0.1,0.1,260734,7388,7,0.2,93199,3623,2.5,0.1,18894,1492,0.5,0.1,16626,1356,0.4,0.1,18906,1425,0.5,0.1,0.1,2439,516,0.1,3751410,*****,3751410,(X),3099491,7563,82.6,0.2,206986,1388,5.5,0.1,92442,1879,2.5,0.1,151480,1140,4,0.1,13046,885,0.3,0.1,287219,7725,7.7,0.2,3751410,*****,3751410,(X),1087987,*****,29,*****,971841,4699,25.9,0.1,19697,2132,0.5,0.1,6014,1028,0.2,0.1,90435,3592,2.4,0.1,2663423,*****,71,*****,2241236,797,59.7,0.1,170462,1461,4.5,0.1,58074,1073,1.5,0.1,122090,1477,3.3,0.1,7134,364,0.2,0.1,5893,888,0.2,0.1,58534,2372,1.6,0.1,2975,495,0.1,0.1,55559,2270,1.5,0.1,1596165,1242,(X),(X)
0500000US04015,"Mohave County, Arizona",199177,*****,199177,(X),99877,167,50.1,0.1,99300,167,49.9,0.1,11549,32,5.8,0.1,11184,611,5.6,0.3,12193,608,6.1,0.3,12127,176,6.1,0.1,9004,148,4.5,0.1,18399,145,9.2,0.1,21424,149,10.8,0.1,28672,208,14.4,0.1,15231,624,7.6,0.3,15634,633,7.8,0.3,26673,116,13.4,0.1,13483,362,6.8,0.2,3604,351,1.8,0.2,46.3,0.2,(X),(X),156485,19,78.6,0.1,150519,319,75.6,0.2,53448,618,26.8,0.3,43760,93,22,0.1,156485,19,156485,(X),77930,93,49.8,0.1,78555,92,50.2,0.1,43760,93,43760,(X),21752,88,49.7,0.1,22008,27,50.3,0.1,199177,*****,199177,(X),192583,725,96.7,0.4,6594,725,3.3,0.4,192583,725,96.7,0.4,179540,1288,90.1,0.6,1854,226,0.9,0.1,3429,439,1.7,0.2,219,160,0.1,0.1,39,52,0,0.1,295,151,0.1,0.1,18,21,0,0.1,1932,181,1,0.1,103,127,0.1,0.1,347,193,0.2,0.1,580,198,0.3,0.1,233,110,0.1,0.1,168,109,0.1,0.1,160,100,0.1,0.1,341,198,0.2,0.1,310,117,0.2,0.1,83,56,0,0.1,15,18,0,0.1,205,144,0.1,0.1,7,19,0,0.1,5518,999,2.8,0.5,6594,725,3.3,0.4,615,203,0.3,0.1,3351,570,1.7,0.3,698,251,0.4,0,0.1,95,77,0.1,199177,*****,199177,(X),185635,1147,93.2,0.6,2996,358,1.5,0.2,7053,494,3.5,0.2,3050,171,1.5,0.1,554,119,0.3,0.1,6772,1164,3.4,0.6,199177,*****,199177,(X),28650,*****,14.4,*****,24622,682,12.4,0.3,566,336,0.3,0.2,102,73,0.1,0.1,3360,638,1.7,0.3,170527,*****,85.6,*****,159512,85,80.1,0.1,1682,198,0.8,0.1,2797,365,1.4,0.2,1914,180,1,0.1,261,87,0.1,0.1,94,54,0,0.1,4267,474,2.1,0.2,94,82,0,0.1,4173,465,2.1,0.2,108396,269,(X),(X)
0500000US04017,"Navajo County, Arizona",107060,*****,107060,(X),53361,84,49.8,0.1,53699,84,50.2,0.1,8674,30,8.1,0.1,8040,532,7.5,0.5,9991,523,9.3,0.5,9707,110,9.1,0.1,6754,103,6.3,0.1,11695,123,10.9,0.1,12492,94,11.7,0.1,14279,114,13.3,0.1,6415,386,6,0.4,5722,397,5.3,0.4,8352,123,7.8,0.1,3839,207,3.6,0.2,1100,175,1,0.2,33.8,0.2,(X),(X),74140,68,69.3,0.1,69375,270,64.8,0.3,16455,315,15.4,0.3,13291,51,12.4,0.1,74140,68,74140,(X),36771,84,49.6,0.1,37369,50,50.4,0.1,13291,51,13291,(X),6309,40,47.5,0.2,6982,42,52.5,0.2,107060,*****,107060,(X),103512,632,96.7,0.6,3548,632,3.3,0.6,103512,632,96.7,0.6,51689,595,48.3,0.6,869,95,0.8,0.1,46059,651,43,0.6,71,74,0.1,0.1,0,132,0,0.1,25836,1200,24.1,1.1,52,86,0,0.1,381,154,0.4,0.1,88,114,0.1,0.1,92,83,0.1,0.1,101,84,0.1,0.1,13,23,0,0.1,27,53,0,0.1,27,32,0,0.1,33,31,0,0.1,128,17,0.1,0.1,13,11,0,0.1,68,31,0.1,0.1,10,13,0,0.1,37,20,0,0.1,4386,604,4.1,0.6,3548,632,3.3,0.6,309,137,0.3,0.1,1732,588,1.6,0.5,330,168,0.3,0.1,0.2,56,35,0.1,107060,*****,107060,(X),54707,794,51.1,0.7,1405,172,1.3,0.2,48320,335,45.1,0.3,1029,266,1,0.2,189,55,0.2,0.1,5230,589,4.9,0.6,107060,*****,107060,(X),11235,*****,10.5,*****,8783,463,8.2,0.4,148,123,0.1,0.1,0,132,0,0.1,2304,456,2.2,0.4,95825,*****,89.5,*****,46664,17,43.6,0.1,836,76,0.8,0.1,45405,559,42.4,0.5,371,153,0.3,0.1,128,17,0.1,0.1,20,21,0,0.1,2401,584,2.2,0.5,18,17,0,0.1,2383,583,2.2,0.5,55889,144,(X),(X)
