GEO_ID,NAME,DP05_0001E,DP05_0001M,DP05_0001PE,DP05_0001PM,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0004E,DP05_0004M,DP05_0004PE,DP05_0004PM,DP05_0005E,DP05_0005M,DP05_0005PE,DP05_0005PM,DP05_0006E,DP05_0006M,DP05_0006PE,DP05_0006PM,DP05_0007E,DP05_0007M,DP05_0007PE,DP05_0007PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM,DP05_0009E,DP05_0009M,DP05_0009PE,DP05_0009PM,DP05_0010E,DP05_0010M,DP05_0010PE,DP05_0010PM,DP05_0011E,DP05_0011M,DP05_0011PE,DP05_0011PM,DP05_0012E,DP05_0012M,DP05_0012PE,DP05_0012PM,DP05_0013E,DP05_0013M,DP05_0013PE,DP05_0013PM,DP05_0014E,DP05_0014M,DP05_0014PE,DP05_0014PM,DP05_0015E,DP05_0015M,DP05_0015PE,DP05_0015PM,DP05_0016E,DP05_0016M,DP05_0016PE,DP05_0016PM,DP05_0017E,DP05_0017M,DP05_0017PE,DP05_0017PM,DP05_0018E,DP05_0018M,DP05_0018PE,DP05_0018PM,DP05_0019E,DP05_0019M,DP05_0019PE,DP05_0019PM,DP05_0020E,DP05_0020M,DP05_0020PE,DP05_0020PM,DP05_0021E,DP05_0021M,DP05_0021PE,DP05_0021PM,DP05_0022E,DP05_0022M,DP05_0022PE,DP05_0022PM,DP05_0023E,DP05_0023M,DP05_0023PE,DP05_0023PM,DP05_0024E,DP05_0024M,DP05_0024PE,DP05_0024PM,DP05_0025E,DP05_0025M,DP05_0025PE,DP05_0025PM,DP05_0026E,DP05_0026M,DP05_0026PE,DP05_0026PM,DP05_0027E,DP05_0027M,DP05_0027PE,DP05_0027PM,DP05_0028E,DP05_0028M,DP05_0028PE,DP05_0028PM,DP05_0029E,DP05_0029M,DP05_0029PE,DP05_0029PM,DP05_0030E,DP05_0030M,DP05_0030PE,DP05_0030PM,DP05_0031E,DP05_0031M,DP05_0031PE,DP05_0031PM,DP05_0032E,DP05_0032M,DP05_0032PE,DP05_0032PM,DP05_0033E,DP05_0033M,DP05_0033PE,DP05_0033PM,DP05_0034E,DP05_0034M,DP05_0034PE,DP05_0034PM,DP05_0035E,DP05_0035M,DP05_0035PE,DP05_0035PM,DP05_0036E,DP05_0036M,DP05_0036PE,DP05_0036PM,DP05_0037E,DP05_0037M,DP05_0037PE,DP05_0037PM,DP05_0038E,DP05_0038M,DP05_0038PE,DP05_0038PM,DP05_0039E,DP05_0039M,DP05_0039PE,DP05_0039PM,DP05_0040E,DP05_0040M,DP05_0040PE,DP05_0040PM,DP05_0041E,DP05_0041M,DP05_0041PE,DP05_0041PM,DP05_0042E,DP05_0042M,DP05_0042PE,DP05_0042PM,DP05_0043E,DP05_0043M,DP05_0043PE,DP05_0043PM,DP05_0044E,DP05_0044M,DP05_0044PE,DP05_0044PM,DP05_0045E,DP05_0045M,DP05_0045PE,DP05_0045PM,DP05_0046E,DP05_0046M,DP05_0046PE,DP05_0046PM,DP05_0047E,DP05_0047M,DP05_0047PE,DP05_0047PM,DP05_0048E,DP05_0048M,DP05_0048PE,DP05_0048PM,DP05_0049E,DP05_0049M,DP05_0049PE,DP05_0049PM,DP05_0050E,DP05_0050M,DP05_0050PE,DP05_0050PM,DP05_0051E,DP05_0051M,DP05_0051PE,DP05_0051PM,DP05_0052E,DP05_0052M,DP05_0052PE,DP05_0052PM,DP05_0053E,DP05_0053M,DP05_0053PE,DP05_0053PM,DP05_0054E,DP05_0054M,DP05_0054PE,DP05_0054PM,DP05_0055E,DP05_0055M,DP05_0055PE,DP05_0055PM,DP05_0056E,DP05_0056M,DP05_0056PE,DP05_0056PM,DP05_0057E,DP05_0057M,DP05_0057PE,DP05_0057PM,DP05_0058E,DP05_0058M,DP05_0058PE,DP05_0058PM,DP05_0059E,DP05_0059M,DP05_0059PE,DP05_0059PM,DP05_0060E,DP05_0060M,DP05_0060PE,DP05_0060PM,DP05_0061E,DP05_0061M,DP05_0061PE,DP05_0061PM,DP05_0062E,DP05_0062M,DP05_0062PE,DP05_0062PM,DP05_0063E,DP05_0063M,DP05_0063PE,DP05_0063PM,DP05_0064E,DP05_0064M,DP05_0064PE,DP05_0064PM,DP05_0065E,DP05_0065M,DP05_0065PE,DP05_0065PM,DP05_0066E,DP05_0066M,DP05_0066PE,DP05_0066PM,DP05_0067E,DP05_0067M,DP05_0067PE,DP05_0067PM,DP05_0068E,DP05_0068M,DP05_0068PE,DP05_0068PM,DP05_0069E,DP05_0069M,DP05_0069PE,DP05_0069PM,DP05_0070E,DP05_0070PE,DP05_0070M,DP05_0070PM,DP05_0071E,DP05_0071M,DP05_0071PE,DP05_0071PM,DP05_0072E,DP05_0072M,DP05_0072PE,DP05_0072PM,DP05_0073E,DP05_0073M,DP05_0073PE,DP05_0073PM,DP05_0074E,DP05_0074M,DP05_0074PE,DP05_0074PM,DP05_0075E,DP05_0075M,DP05_0075PE,DP05_0075PM,DP05_0076E,DP05_0076M,DP05_0076PE,DP05_0076PM,DP05_0077E,DP05_0077M,DP05_0077PE,DP05_0077PM,DP05_0078E,DP05_0078M,DP05_0078PE,DP05_0078PM,DP05_0079E,DP05_0079M,DP05_0079PE,DP05_0079PM,DP05_0080E,DP05_0080M,DP05_0080PE,DP05_0080PM,DP05_0081E,DP05_0081M,DP05_0081PE,DP05_0081PM
0500000US04001,"Apache County, Arizona",71618,*****,71618,(X),35672,106,49.8,0.1,35946,106,50.2,0.1,5921,30,8.3,0.1,5777,306,8.1,0.4,6670,311,9.3,0.4,7141,144,10,0.2,4565,128,6.4,0.2,7762,89,10.8,0.1,8119,79,11.3,0.1,9453,17,13.2,0.1,3907,323,5.5,0.5,3867,307,5.4,0.4,5278,121,7.4,0.2,2382,170,3.3,0.2,776,161,1.1,0.2,32.1,0.3,(X),(X),49019,85,68.4,0.1,44733,235,62.5,0.3,10485,257,14.6,0.4,8436,94,11.8,0.1,49019,85,49019,(X),24222,74,49.4,0.1,24797,81,50.6,0.1,8436,94,8436,(X),3863,30,45.8,0.5,4573,85,54.2,0.5,71618,*****,71618,(X),70541,274,98.5,0.4,1077,274,1.5,0.4,70541,274,98.5,0.4,17177,284,24,0.4,207,74,0.3,0.1,52153,293,72.8,0.4,125,113,0.2,0.2,7,11,0,0.1,50155,494,70,0.7,1,3,0,0.1,251,41,0.4,0.1,28,32,0,0.1,72,62,0.1,0.1,46,37,0.1,0.1,5,7,0,0.1,17,18,0,0.1,44,36,0.1,0.1,39,46,0.1,0.1,71,24,0.1,0.1,45,31,0.1,0.1,0,31,0,0.1,4,7,0,0.1,22,20,0,0.1,682,259,1,0.4,1077,274,1.5,0.4,149,76,0.2,0.1,667,242,0.9,0.3,17,24,0,0.1,70,37,0.1,0.1,71618,*****,71618,(X),18122,377,25.3,0.5,426,41,0.6,0.1,52932,190,73.9,0.3,328,21,0.5,0.1,144,47,0.2,0.1,771,269,1.1,0.4,71618,*****,71618,(X),4286,*****,6,*****,2899,340,4,0.5,64,67,0.1,0.1,76,71,0.1,0.1,1247,1.7,344,0.5,67332,*****,94,*****,14323,18,20,0.1,207,74,0.3,0.1,51562,235,72,0.3,251,41,0.4,0.1,56,31,0.1,0.1,4,7,0,0.1,929,265,1.3,0.4,17,18,0,0.1,912,265,1.3,0.4,32548,108,(X),(X)
0500000US04003,"Cochise County, Arizona",131118,*****,131118,(X),66837,157,51,0.1,64281,157,49,0.1,8416,81,6.4,0.1,8101,425,6.2,0.3,8165,438,6.2,0.3,9280,181,7.1,0.1,8351,174,6.4,0.1,16478,318,12.6,0.2,14933,208,11.4,0.2,17132,76,13.1,0.1,8487,424,6.5,0.3,8955,427,6.8,0.3,13448,122,10.3,0.1,6885,314,5.3,0.2,2487,300,1.9,0.2,39.9,0.5,(X),(X),101175,*****,77.2,*****,95005,373,72.5,0.3,27742,418,21.2,0.3,22820,71,17.4,0.1,101175,*****,101175,(X),51443,56,50.8,0.1,49732,57,49.2,0.1,22820,71,22820,(X),10920,63,47.9,0.2,11900,41,52.1,0.2,131118,*****,131118,(X),124224,728,94.7,0.6,6894,728,5.3,0.6,124224,728,94.7,0.6,105267,1287,80.3,1,5164,357,3.9,0.3,1454,266,1.1,0.2,265,156,0.2,0.1,15,17,0,0.1,143,108,0.1,0.1,4,8,0,0.1,2286,277,1.7,0.2,97,93,0.1,0.1,189,228,0.1,0.2,582,260,0.4,0.2,319,178,0.2,0.1,769,230,0.6,0.2,154,111,0.1,0.1,176,129,0.1,0.1,362,33,0.3,0.1,106,80,0.1,0.1,105,100,0.1,0.1,105,102,0.1,0.1,46,40,0,0.1,9691,1242,7.4,0.9,6894,728,5.3,0.6,1107,333,0.8,0.3,1401,371,1.1,0.3,1186,314,0.9,0.2,260,218,0.2,0.2,131118,*****,131118,(X),111217,1323,84.8,1,6977,289,5.3,0.2,3388,439,2.6,0.3,4165,303,3.2,0.2,993,260,0.8,0.2,11668,1251,8.9,1,131118,*****,131118,(X),42595,*****,32.5,*****,37983,653,29,0.5,1734,472,1.3,0.4,179,112,0.1,0.1,2699,2.1,464,0.4,88523,*****,67.5,*****,76471,114,58.3,0.1,4872,323,3.7,0.2,976,156,0.7,0.1,2202,274,1.7,0.2,362,33,0.3,0.1,71,76,0.1,0.1,3569,443,2.7,0.3,85,88,0.1,0.1,3484,432,2.7,0.3,59160,425,(X),(X)
0500000US04005,"Coconino County, Arizona",134011,*****,134011,(X),66429,114,49.6,0.1,67582,114,50.4,0.1,8949,81,6.7,0.1,8248,452,6.2,0.3,8706,467,6.5,0.3,13414,228,10,0.2,16562,189,12.4,0.1,17699,150,13.2,0.1,15473,117,11.5,0.1,17652,135,13.2,0.1,8845,357,6.6,0.3,6282,358,4.7,0.3,7600,72,5.7,0.1,3394,200,2.5,0.1,1187,196,0.9,0.1,30.9,0.3,(X),(X),102494,56,76.5,0.1,90412,529,67.5,0.4,15693,338,11.7,0.3,12181,82,9.1,0.1,102494,56,102494,(X),50169,82,48.9,0.1,52325,71,51.1,0.1,12181,82,12181,(X),5593,43,45.9,0.3,6588,69,54.1,0.3,134011,*****,134011,(X),130024,677,97,0.5,3987,677,3,0.5,130024,677,97,0.5,83919,825,62.6,0.6,1774,178,1.3,0.1,36501,499,27.2,0.4,76,53,0.1,0.1,22,23,0,0.1,31726,985,23.7,0.7,3,6,0,0.1,1955,205,1.5,0.2,261,116,0.2,0.1,590,232,0.4,0.2,303,136,0.2,0.1,254,147,0.2,0.1,238,151,0.2,0.1,149,118,0.1,0.1,160,106,0.1,0.1,138,60,0.1,0.1,85,45,0.1,0.1,30,32,0,0.1,0,31,0,0.1,23,29,0,0.1,5737,845,4.3,0.6,3987,677,3,0.5,394,131,0.3,0.1,1249,379,0.9,0.3,722,206,0.5,0.2,115,104,0.1,0.1,134011,*****,134011,(X),87194,940,65.1,0.7,2402,212,1.8,0.2,38163,408,28.5,0.3,2869,129,2.1,0.1,699,477,0.5,0.4,6903,887,5.2,0.7,134011,*****,134011,(X),18106,*****,13.5,*****,15437,669,11.5,0.5,872,523,0.7,0.4,47,39,0,0.1,1750,1.3,469,0.3,115905,*****,86.5,*****,73929,136,55.2,0.1,1642,130,1.2,0.1,35628,368,26.6,0.3,1919,204,1.4,0.2,102,46,0.1,0.1,148,134,0.1,0.1,2537,446,1.9,0.3,43,48,0,0.1,2494,432,1.9,0.3,63270,354,(X),(X)
0500000US04007,"Gila County, Arizona",53436,*****,53436,(X),26751,151,50.1,0.3,26685,151,49.9,0.3,3116,68,5.8,0.1,3096,354,5.8,0.7,3089,368,5.8,0.7,3257,222,6.1,0.4,2513,252,4.7,0.5,4669,251,8.7,0.5,5081,49,9.5,0.1,7372,74,13.8,0.1,4248,415,7.9,0.8,4541,381,8.5,0.7,7355,77,13.8,0.1,3604,267,6.7,0.5,1495,252,2.8,0.5,47.8,0.3,(X),(X),42053,102,78.7,0.2,40413,297,75.6,0.6,15174,345,28.4,0.6,12454,37,23.3,0.1,42053,102,42053,(X),20790,129,49.4,0.2,21263,72,50.6,0.2,12454,37,12454,(X),5969,35,47.9,0.2,6485,17,52.1,0.2,53436,*****,53436,(X),52210,323,97.7,0.6,1226,323,2.3,0.6,52210,323,97.7,0.6,42288,482,79.1,0.9,238,41,0.4,0.1,7831,171,14.7,0.3,15,19,0,0.1,0,31,0,0.1,512,239,1,0.4,4,9,0,0.1,140,105,0.3,0.2,0,31,0,0.1,37,53,0.1,0.1,94,87,0.2,0.2,0,31,0,0.1,0,31,0,0.1,8,15,0,0.1,1,3,0,0.1,26,26,0,0.1,15,23,0,0.1,0,31,0,0.1,0,31,0,0.1,11,14,0,0.1,1687,413,3.2,0.8,1226,323,2.3,0.6,103,57,0.2,0.1,383,203,0.7,0.4,290,130,0.5,0.2,24,25,0,0.1,53436,*****,53436,(X),43479,443,81.4,0.8,463,106,0.9,0.2,8340,195,15.6,0.4,452,74,0.8,0.1,34,29,0.1,0.1,2001,451,3.7,0.8,53436,*****,53436,(X),9612,*****,18,*****,8505,320,15.9,0.6,71,98,0.1,0.2,22,29,0,0.1,1014,1.9,334,0.6,43824,*****,82,*****,35059,46,65.6,0.1,238,41,0.4,0.1,7734,164,14.5,0.3,139,105,0.3,0.2,26,26,0,0.1,30,46,0.1,0.1,598,195,1.1,0.4,0,31,0,0.1,598,195,1.1,0.4,32644,106,(X),(X)
0500000US04009,"Graham County, Arizona",37115,*****,37115,(X),19936,110,53.7,0.3,17179,110,46.3,0.3,3093,23,8.3,0.1,2767,200,7.5,0.5,2861,212,7.7,0.6,3073,89,8.3,0.2,3140,114,8.5,0.3,5228,52,14.1,0.1,4612,102,12.4,0.3,4379,114,11.8,0.3,2165,187,5.8,0.5,1483,196,4,0.5,2382,51,6.4,0.1,1392,109,3.8,0.3,540,113,1.5,0.3,31.8,0.4,(X),(X),26701,99,71.9,0.3,24407,206,65.8,0.6,5144,159,13.9,0.4,4314,61,11.6,0.2,26701,99,26701,(X),14657,147,54.9,0.4,12044,101,45.1,0.4,4314,61,4314,(X),1979,13,45.9,0.6,2335,57,54.1,0.6,37115,*****,37115,(X),36186,344,97.5,0.9,929,344,2.5,0.9,36186,344,97.5,0.9,27973,588,75.4,1.6,776,79,2.1,0.2,5044,207,13.6,0.6,0,28,0,0.1,0,28,0,0.1,288,152,0.8,0.4,49,43,0.1,0.1,176,80,0.5,0.2,0,28,0,0.1,72,82,0.2,0.2,53,62,0.1,0.2,10,18,0,0.1,0,28,0,0.1,0,28,0,0.1,41,54,0.1,0.1,112,84,0.3,0.2,27,21,0.1,0.1,44,58,0.1,0.2,0,28,0,0.1,41,54,0.1,0.1,2105,460,5.7,1.2,929,344,2.5,0.9,58,59,0.2,0.2,437,278,1.2,0.7,91,77,0.2,0.2,14,22,0,0.1,37115,*****,37115,(X),28762,558,77.5,1.5,877,103,2.4,0.3,5624,290,15.2,0.8,277,7,0.7,0.1,172,122,0.5,0.3,2361,518,6.4,1.4,37115,*****,37115,(X),11365,*****,30.6,*****,10666,305,28.7,0.8,20,22,0.1,0.1,30,44,0.1,0.1,649,1.7,287,0.8,25750,*****,69.4,*****,19456,20,52.4,0.1,706,48,1.9,0.1,4923,186,13.3,0.5,176,80,0.5,0.2,89,68,0.2,0.2,13,20,0,0.1,387,191,1,0.5,21,30,0.1,0.1,366,191,1,0.5,13003,186,(X),(X)
0500000US04011,"Greenlee County, Arizona",8592,*****,8592,(X),4505,54,52.4,0.6,4087,54,47.6,0.6,672,25,7.8,0.3,609,102,7.1,1.2,805,104,9.4,1.2,601,87,7,1,558,104,6.5,1.2,1135,66,13.2,0.8,1152,89,13.4,1,1071,96,12.5,1.1,517,82,6,1,461,85,5.4,1,531,10,6.2,0.1,385,48,4.5,0.6,95,45,1.1,0.5,33.7,0.8,(X),(X),6086,21,70.8,0.2,5881,96,68.4,1.1,1242,72,14.5,0.8,1011,18,11.8,0.2,6086,21,6086,(X),3130,39,51.4,0.6,2956,34,48.6,0.6,1011,18,1011,(X),465,13,46,0.9,546,12,54,0.9,8592,*****,8592,(X),8353,105,97.2,1.2,239,105,2.8,1.2,8353,105,97.2,1.2,7410,242,86.2,2.8,84,22,1,0.3,177,56,2.1,0.6,0,19,0,0.5,0,19,0,0.5,89,69,1,0.8,0,19,0,0.5,51,37,0.6,0.4,0,19,0,0.5,10,15,0.1,0.2,16,25,0.2,0.3,0,19,0,0.5,0,19,0,0.5,0,19,0,0.5,25,30,0.3,0.3,0,19,0,0.5,0,19,0,0.5,0,19,0,0.5,0,19,0,0.5,0,19,0,0.5,631,238,7.3,2.8,239,105,2.8,1.2,16,22,0.2,0.3,52,31,0.6,0.4,7,12,0.1,0.1,0,19,0,0.5,8592,*****,8592,(X),7643,249,89,2.9,100,19,1.2,0.5,235,51,2.7,0.6,58,43,0.7,0.5,0,19,0,0.5,795,239,9.3,2.8,8592,*****,8592,(X),4080,*****,47.5,*****,3891,74,45.3,0.9,0,19,0,0.5,5,7,0.1,0.1,184,2.1,74,0.9,4512,*****,52.5,*****,4116,33,47.9,0.4,84,22,1,0.3,149,47,1.7,0.5,51,37,0.6,0.4,0,19,0,0.5,31,33,0.4,0.4,81,35,0.9,0.4,6,9,0.1,0.1,75,36,0.9,0.4,4345,50,(X),(X)
0500000US04012,"La Paz County, Arizona",20460,*****,20460,(X),10332,105,50.5,0.5,10128,105,49.5,0.5,980,7,4.8,0.1,940,130,4.6,0.6,1021,131,5,0.6,766,206,3.7,1,882,185,4.3,0.9,1815,229,8.9,1.1,1632,55,8,0.3,2439,61,11.9,0.3,1410,266,6.9,1.3,1779,262,8.7,1.3,4216,65,20.6,0.3,1966,234,9.6,1.1,614,215,3,1.1,54.1,0.7,(X),(X),16901,28,82.6,0.1,16720,251,81.7,1.2,7854,205,38.4,1,6796,85,33.2,0.4,16901,28,16901,(X),8642,42,51.1,0.2,8259,42,48.9,0.2,6796,85,6796,(X),3594,63,52.9,0.4,3202,33,47.1,0.4,20460,*****,20460,(X),20238,79,98.9,0.4,222,79,1.1,0.4,20238,79,98.9,0.4,14643,349,71.6,1.7,181,10,0.9,0.1,2621,112,12.8,0.5,33,35,0.2,0.2,13,17,0.1,0.1,262,89,1.3,0.4,12,13,0.1,0.1,135,3,0.7,0.1,0,25,0,0.2,6,14,0,0.1,19,29,0.1,0.1,0,25,0,0.2,3,14,0,0.1,0,25,0,0.2,107,44,0.5,0.2,14,21,0.1,0.1,0,25,0,0.2,0,25,0,0.2,0,25,0,0.2,14,21,0.1,0.1,2644,357,12.9,1.7,222,79,1.1,0.4,5,9,0,0.1,141,62,0.7,0.3,1,3,0,0.1,5,7,0,0.1,20460,*****,20460,(X),14844,362,72.6,1.8,209,30,1,0.1,2794,99,13.7,0.5,143,10,0.7,0.1,14,21,0.1,0.1,2696,362,13.2,1.8,20460,*****,20460,(X),4870,*****,23.8,*****,4617,98,22.6,0.5,59,51,0.3,0.2,22,27,0.1,0.1,172,0.8,90,0.4,15590,*****,76.2,*****,12729,25,62.2,0.2,179,9,0.9,0.1,2401,61,11.7,0.3,135,3,0.7,0.1,14,21,0.1,0.1,0,25,0,0.2,132,66,0.6,0.3,0,25,0,0.2,132,66,0.6,0.3,16039,107,(X),(X)
0500000US04013,"Maricopa County, Arizona",3841819,*****,3841819,(X),1901825,92,49.5,0.1,1939994,92,50.5,0.1,284400,*****,7.4,*****,281058,2805,7.3,0.1,279033,2804,7.3,0.1,273625,100,7.1,0.1,272305,100,7.1,0.1,549662,*****,14.3,*****,528091,*****,13.7,*****,502692,*****,13.1,*****,211671,2582,5.5,0.1,189374,2581,4.9,0.1,259734,83,6.8,0.1,153081,1236,4,0.1,57093,1250,1.5,0.1,34.6,0.1,(X),(X),2832054,*****,73.7,*****,2668478,1618,69.5,0.1,577756,2097,15,0.1,469908,87,12.2,0.1,2832054,*****,2832054,(X),1385799,*****,48.9,*****,1446255,*****,51.1,*****,469908,87,469908,(X),208586,87,44.4,0.1,261322,*****,55.6,0.1,3841819,*****,3841819,(X),3738382,3772,97.3,0.1,103437,3772,2.7,0.1,3738382,3772,97.3,0.1,3114615,7537,81.1,0.2,192883,2237,5,0.1,71329,1673,1.9,0.1,1629,326,0,0.1,702,447,0,0.1,25621,1951,0.7,0.1,1347,506,0,0.1,133497,1467,3.5,0.1,31395,2032,0.8,0.1,26273,2128,0.7,0.1,24402,1955,0.6,0.1,6193,892,0.2,0.1,12053,1391,0.3,0.1,18131,1719,0.5,0.1,15050,1598,0.4,0.1,7964,419,0.2,0.1,2496,569,0.1,0.1,979,375,0,0.1,1230,434,0,0.1,3259,674,0.1,0.1,218094,6093,5.7,0.2,103437,3772,2.7,0.1,22808,1857,0.6,0.1,18425,1374,0.5,0.1,22383,1341,0.6,0.1,2590,722,0.1,0.1,3841819,*****,3841819,(X),3203746,6993,83.4,0.2,226442,1905,5.9,0.1,98225,1996,2.6,0.1,165587,1139,4.3,0.1,14486,903,0.4,0.1,243755,6525,6.3,0.2,3841819,*****,3841819,(X),1136308,*****,29.6,*****,1025377,4685,26.7,0.1,19549,1654,0.5,0.1,6575,1019,0.2,0.1,84807,2.2,4113,0.1,2705511,*****,70.4,*****,2253066,834,58.6,0.1,182923,1957,4.8,0.1,59060,1167,1.5,0.1,131238,1468,3.4,0.1,7501,343,0.2,0.1,5198,847,0.1,0.1,66525,2922,1.7,0.1,2872,544,0.1,0.1,63653,2888,1.7,0.1,1636502,636,(X),(X)
0500000US04015,"Mohave County, Arizona",201216,*****,201216,(X),101109,145,50.2,0.1,100107,145,49.8,0.1,11025,30,5.5,0.1,11338,664,5.6,0.3,11773,656,5.9,0.3,11467,108,5.7,0.1,9749,224,4.8,0.1,18569,173,9.2,0.1,20240,197,10.1,0.1,28364,209,14.1,0.1,15349,671,7.6,0.3,16368,672,8.1,0.3,28439,109,14.1,0.1,14222,462,7.1,0.2,4313,449,2.1,0.2,47.4,0.2,(X),(X),159771,51,79.4,0.1,154056,268,76.6,0.1,57160,673,28.4,0.3,46974,119,23.3,0.1,159771,51,159771,(X),79763,51,49.9,0.1,80008,32,50.1,0.1,46974,119,46974,(X),23221,101,49.4,0.1,23753,68,50.6,0.1,201216,*****,201216,(X),192970,786,95.9,0.4,8246,786,4.1,0.4,192970,786,95.9,0.4,179349,1201,89.1,0.6,2019,203,1,0.1,3062,398,1.5,0.2,157,122,0.1,0.1,26,31,0,0.1,281,115,0.1,0.1,30,35,0,0.1,2066,246,1,0.1,0,31,0,0.1,523,332,0.3,0.2,336,178,0.2,0.1,411,182,0.2,0.1,177,159,0.1,0.1,190,163,0.1,0.1,429,230,0.2,0.1,297,154,0.1,0.1,46,58,0,0.1,33,40,0,0.1,218,175,0.1,0.1,0,31,0,0.1,6177,996,3.1,0.5,8246,786,4.1,0.4,595,139,0.3,0.1,4788,771,2.4,0.4,945,272,0.5,0.1,84,72,0,0.1,201216,*****,201216,(X),187156,1124,93,0.6,2886,229,1.4,0.1,8174,730,4.1,0.4,3474,281,1.7,0.1,871,213,0.4,0.1,7381,1015,3.7,0.5,201216,*****,201216,(X),30016,*****,14.9,*****,26639,613,13.2,0.3,377,307,0.2,0.2,101,69,0.1,0.1,2899,1.4,528,0.3,171200,*****,85.1,*****,159755,134,79.4,0.1,1797,131,0.9,0.1,2389,322,1.2,0.2,1971,216,1,0.1,218,101,0.1,0.1,100,101,0,0.1,4970,410,2.5,0.2,81,59,0,0.1,4889,394,2.4,0.2,110603,505,(X),(X)
0500000US04017,"Navajo County, Arizona",107415,*****,107415,(X),53736,141,50,0.1,53679,141,50,0.1,8608,85,8,0.1,8167,401,7.6,0.4,9400,400,8.8,0.4,9056,135,8.4,0.1,6950,141,6.5,0.1,11752,120,10.9,0.1,11892,115,11.1,0.1,14232,138,13.2,0.1,6880,466,6.4,0.4,6093,465,5.7,0.4,8969,59,8.3,0.1,4153,200,3.9,0.2,1263,191,1.2,0.2,34.8,0.2,(X),(X),75537,14,70.3,0.1,70735,268,65.9,0.2,17777,348,16.5,0.3,14385,76,13.4,0.1,75537,14,75537,(X),37609,130,49.8,0.2,37928,128,50.2,0.2,14385,76,14385,(X),6821,58,47.4,0.2,7564,41,52.6,0.2,107415,*****,107415,(X),103687,733,96.5,0.7,3728,733,3.5,0.7,103687,733,96.5,0.7,52280,700,48.7,0.7,916,128,0.9,0.1,45544,629,42.4,0.6,81,79,0.1,0.1,11,18,0,0.1,25861,1247,24.1,1.2,79,73,0.1,0.1,530,104,0.5,0.1,142,157,0.1,0.1,158,90,0.1,0.1,111,70,0.1,0.1,17,27,0,0.1,22,28,0,0.1,52,56,0,0.1,28,29,0,0.1,104,22,0.1,0.1,28,22,0,0.1,59,47,0.1,0.1,2,5,0,0.1,15,25,0,0.1,4313,704,4,0.7,3728,733,3.5,0.7,338,163,0.3,0.2,1971,485,1.8,0.5,304,144,0.3,0.1,110,54,0.1,0.1,107415,*****,107415,(X),55497,912,51.7,0.8,1472,163,1.4,0.2,48057,414,44.7,0.4,1089,240,1,0.2,243,103,0.2,0.1,5014,715,4.7,0.7,107415,*****,107415,(X),11549,*****,10.8,*****,9747,527,9.1,0.5,89,59,0.1,0.1,29,36,0,0.1,1684,1.6,519,0.5,95866,*****,89.2,*****,46958,12,43.7,0.1,868,125,0.8,0.1,44810,482,41.7,0.4,524,106,0.5,0.1,104,22,0.1,0.1,37,39,0,0.1,2565,529,2.4,0.5,80,146,0.1,0.1,2485,520,2.3,0.5,56910,111,(X),(X)
