GEO_ID,NAME,DP05_0024M,DP05_0024PE,DP05_0024PM,DP05_0025E,DP05_0025M,DP05_0025PE,DP05_0025PM,DP05_0026E,DP05_0026M,DP05_0026PE,DP05_0026PM,DP05_0027E,DP05_0027M,DP05_0027PE,DP05_0027PM,DP05_0028E,DP05_0028M,DP05_0028PE,DP05_0028PM,DP05_0029E,DP05_0029M,DP05_0029PE,DP05_0029PM,DP05_0030E,DP05_0030M,DP05_0030PE,DP05_0030PM,DP05_0031E,DP05_0031M,DP05_0031PE,DP05_0031PM,DP05_0032E,DP05_0032M,DP05_0032PE,DP05_0032PM,DP05_0033E,DP05_0033M,DP05_0033PE,DP05_0033PM,DP05_0034E,DP05_0034M,DP05_0034PE,DP05_0034PM,DP05_0035E,DP05_0035M,DP05_0035PE,DP05_0035PM,DP05_0036E,DP05_0036M,DP05_0036PE,DP05_0036PM,DP05_0037E,DP05_0037M,DP05_0037PE,DP05_0037PM,DP05_0038E,DP05_0038M,DP05_0038PE,DP05_0038PM,DP05_0039E,DP05_0039M,DP05_0039PE,DP05_0039PM,DP05_0040E,DP05_0040M,DP05_0040PE,DP05_0040PM,DP05_0041E,DP05_0041M,DP05_0041PE,DP05_0041PM,DP05_0042E,DP05_0042M,DP05_0042PE,DP05_0042PM,DP05_0043E,DP05_0043M,DP05_0043PE,DP05_0043PM,DP05_0044E,DP05_0044M,DP05_0044PE,DP05_0044PM,DP05_0045E,DP05_0045M,DP05_0045PE,DP05_0045PM,DP05_0046E,DP05_0046M,DP05_0046PE,DP05_0046PM,DP05_0047E,DP05_0047M,DP05_0047PE,DP05_0047PM,DP05_0048E,DP05_0048M,DP05_0048PE,DP05_0048PM,DP05_0049E,DP05_0049M,DP05_0049PE,DP05_0049PM,DP05_0050E,DP05_0050M,DP05_0050PE,DP05_0050PM,DP05_0051E,DP05_0051M,DP05_0051PE,DP05_0051PM,DP05_0052E,DP05_0052M,DP05_0052PE,DP05_0052PM,DP05_0053E,DP05_0053M,DP05_0053PE,DP05_0053PM,DP05_0054E,DP05_0054M,DP05_0054PE,DP05_0054PM,DP05_0055E,DP05_0055M,DP05_0055PE,DP05_0055PM,DP05_0056E,DP05_0056M,DP05_0056PE,DP05_0056PM,DP05_0057E,DP05_0057M,DP05_0057PE,DP05_0057PM,DP05_0058E,DP05_0058M,DP05_0058PE,DP05_0058PM,DP05_0059E,DP05_0059M,DP05_0059PE,DP05_0059PM,DP05_0060E,DP05_0060M,DP05_0060PE,DP05_0060PM,DP05_0061E,DP05_0061M,DP05_0061PE,DP05_0061PM,DP05_0062E,DP05_0062M,DP05_0062PE,DP05_0062PM,DP05_0063E,DP05_0063M,DP05_0063PE,DP05_0063PM,DP05_0064E,DP05_0064M,DP05_0064PE,DP05_0064PM,DP05_0065E,DP05_0065M,DP05_0065PE,DP05_0065PM,DP05_0066E,DP05_0066M,DP05_0066PE,DP05_0066PM,DP05_0067E,DP05_0067M,DP05_0067PE,DP05_0067PM,DP05_0068E,DP05_0068M,DP05_0068PE,DP05_0068PM,DP05_0069E,DP05_0069M,DP05_0069PE,DP05_0069PM,DP05_0070E,DP05_0070M,DP05_0070PE,DP05_0070PM,DP05_0071E,DP05_0071M,DP05_0071PE,DP05_0071PM,DP05_0072E,DP05_0072M,DP05_0072PE,DP05_0072PM,DP05_0073E,DP05_0073M,DP05_0073PE,DP05_0073PM,DP05_0074E,DP05_0074M,DP05_0074PE,DP05_0074PM,DP05_0075E,DP05_0075M,DP05_0075PE,DP05_0075PM,DP05_0076E,DP05_0076M,DP05_0076PE,DP05_0076PM,DP05_0077E,DP05_0077M,DP05_0077PE,DP05_0077PM,DP05_0078E,DP05_0078M,DP05_0078PE,DP05_0078PM,DP05_0079E,DP05_0079M,DP05_0079PE,DP05_0079PM,DP05_0080E,DP05_0080M,DP05_0080PE,DP05_0080PM,DP05_0081E,DP05_0081M,DP05_0081PE,DP05_0081PM,DP05_0001E,DP05_0001M,DP05_0001PE,DP05_0001PM,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0004E,DP05_0004M,DP05_0004PE,DP05_0004PM,DP05_0005E,DP05_0005M,DP05_0005PE,DP05_0005PM,DP05_0006E,DP05_0006M,DP05_0006PE,DP05_0006PM,DP05_0007E,DP05_0007M,DP05_0007PE,DP05_0007PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM,DP05_0009E,DP05_0009M,DP05_0009PE,DP05_0009PM,DP05_0010E,DP05_0010M,DP05_0010PE,DP05_0010PM,DP05_0011E,DP05_0011M,DP05_0011PE,DP05_0011PM,DP05_0012E,DP05_0012M,DP05_0012PE,DP05_0012PM,DP05_0013E,DP05_0013M,DP05_0013PE,DP05_0013PM,DP05_0014E,DP05_0014M,DP05_0014PE,DP05_0014PM,DP05_0015E,DP05_0015M,DP05_0015PE,DP05_0015PM,DP05_0016E,DP05_0016M,DP05_0016PE,DP05_0016PM,DP05_0017E,DP05_0017M,DP05_0017PE,DP05_0017PM,DP05_0018E,DP05_0018M,DP05_0018PE,DP05_0018PM,DP05_0019E,DP05_0019M,DP05_0019PE,DP05_0019PM,DP05_0020E,DP05_0020M,DP05_0020PE,DP05_0020PM,DP05_0021E,DP05_0021M,DP05_0021PE,DP05_0021PM,DP05_0022E,DP05_0022M,DP05_0022PE,DP05_0022PM,DP05_0023E,DP05_0023M,DP05_0023PE,DP05_0023PM,DP05_0024E
0500000US04001,"Apache County, Arizona",60,50.5,0.1,8984,40,8984,(X),4134,32,46,0.2,4850,21,54,0.2,72142,*****,72142,(X),70706,362,98,0.5,1436,362,2,0.5,70706,362,98,0.5,16881,311,23.4,0.4,422,167,0.6,0.2,52243,297,72.4,0.4,90,75,0.1,0.1,5,10,0,0.1,50043,515,69.4,0.7,7,8,0,0.1,291,42,0.4,0.1,87,55,0.1,0.1,63,57,0.1,0.1,43,29,0.1,0.1,0,30,0,0.1,15,20,0,0.1,49,37,0.1,0.1,34,31,0,0.1,67,13,0.1,0.1,36,26,0,0.1,0,30,0,0.1,3,5,0,0.1,28,22,0,0.1,802,275,1.1,0.4,1436,362,2,0.5,315,256,0.4,0.4,729,268,1,0.4,37,39,0.1,0.1,127,61,0.2,0.1,72142,*****,72142,(X),18121,435,25.1,0.6,864,165,1.2,0.2,53162,190,73.7,0.3,361,13,0.5,0.1,124,37,0.2,0.1,966,298,1.3,0.4,72142,*****,72142,(X),4428,*****,6.1,*****,3180,301,4.4,0.4,75,56,0.1,0.1,123,95,0.2,0.1,1050,288,1.5,0.4,67714,*****,93.9,*****,14126,15,19.6,0.1,414,166,0.6,0.2,51776,237,71.8,0.3,291,42,0.4,0.1,57,30,0.1,0.1,19,28,0,0.1,1031,272,1.4,0.4,13,15,0,0.1,1018,272,1.4,0.4,32614,118,(X),(X),72142,*****,72142,(X),35823,151,49.7,0.2,36319,151,50.3,0.2,5788,121,8,0.2,5911,272,8.2,0.4,6298,300,8.7,0.4,6458,137,9,0.2,4920,127,6.8,0.2,8189,66,11.4,0.1,7993,97,11.1,0.1,9391,102,13,0.1,4307,299,6,0.4,3903,295,5.4,0.4,5460,127,7.6,0.2,2544,226,3.5,0.3,980,178,1.4,0.2,33,0.2,(X),(X),50320,39,69.8,0.1,46346,213,64.2,0.3,11186,254,15.5,0.4,8984,40,12.5,0.1,50320,39,50320,(X),24912,66,49.5,0.1,25408
0500000US04003,"Cochise County, Arizona",45,49,0.1,24004,54,24004,(X),11507,49,47.9,0.1,12497,28,52.1,0.1,130807,*****,130807,(X),123521,922,94.4,0.7,7286,922,5.6,0.7,123521,922,94.4,0.7,104360,1211,79.8,0.9,5148,374,3.9,0.3,1599,276,1.2,0.2,239,119,0.2,0.1,36,51,0,0.1,314,186,0.2,0.1,19,26,0,0.1,2266,285,1.7,0.2,113,87,0.1,0.1,35,51,0,0.1,579,201,0.4,0.2,235,104,0.2,0.1,744,238,0.6,0.2,370,190,0.3,0.1,190,106,0.1,0.1,200,151,0.2,0.1,31,34,0,0.1,97,124,0.1,0.1,34,41,0,0.1,38,40,0,0.1,9948,991,7.6,0.8,7286,922,5.6,0.7,1185,308,0.9,0.2,1534,432,1.2,0.3,1219,367,0.9,0.3,130,99,0.1,0.1,130807,*****,130807,(X),110431,1245,84.4,1,7216,391,5.5,0.3,3464,526,2.6,0.4,4408,359,3.4,0.3,915,279,0.7,0.2,11955,1100,9.1,0.8,130807,*****,130807,(X),43777,*****,33.5,*****,38495,800,29.4,0.6,1981,576,1.5,0.4,245,128,0.2,0.1,3056,574,2.3,0.4,87030,*****,66.5,*****,74920,87,57.3,0.1,4850,309,3.7,0.2,1079,123,0.8,0.1,2237,288,1.7,0.2,200,151,0.2,0.1,48,52,0,0.1,3696,485,2.8,0.4,64,73,0,0.1,3632,465,2.8,0.4,59802,581,(X),(X),130807,*****,130807,(X),66768,155,51,0.1,64039,155,49,0.1,8446,88,6.5,0.1,7798,516,6,0.4,8633,521,6.6,0.4,8687,157,6.6,0.1,8339,186,6.4,0.1,16980,282,13,0.2,14165,217,10.8,0.2,16311,171,12.5,0.1,8290,515,6.3,0.4,9154,511,7,0.4,14005,92,10.7,0.1,7234,373,5.5,0.3,2765,368,2.1,0.3,39.6,0.3,(X),(X),101007,78,77.2,0.1,95199,409,72.8,0.3,29216,445,22.3,0.3,24004,54,18.4,0.1,101007,78,101007,(X),51516,53,51,0.1,49491
0500000US04005,"Coconino County, Arizona",57,51,0.1,13481,78,13481,(X),6297,51,46.7,0.2,7184,48,53.3,0.2,135817,*****,135817,(X),131034,719,96.5,0.5,4783,719,3.5,0.5,131034,719,96.5,0.5,84667,836,62.3,0.6,2009,244,1.5,0.2,36504,606,26.9,0.4,58,54,0,0.1,22,23,0,0.1,31508,876,23.2,0.6,21,22,0,0.1,2120,212,1.6,0.2,185,100,0.1,0.1,685,209,0.5,0.2,305,125,0.2,0.1,220,138,0.2,0.1,75,56,0.1,0.1,354,218,0.3,0.2,296,172,0.2,0.1,150,64,0.1,0.1,88,51,0.1,0.1,11,13,0,0.1,0,30,0,0.1,51,47,0,0.1,5584,873,4.1,0.6,4783,719,3.5,0.5,442,196,0.3,0.1,1775,413,1.3,0.3,684,181,0.5,0.1,73,89,0.1,0.1,135817,*****,135817,(X),88462,981,65.1,0.7,2742,258,2,0.2,38604,454,28.4,0.3,3141,114,2.3,0.1,964,512,0.7,0.4,6915,853,5.1,0.6,135817,*****,135817,(X),18683,*****,13.8,*****,15593,671,11.5,0.5,901,521,0.7,0.4,110,75,0.1,0.1,2079,446,1.5,0.3,117134,*****,86.2,*****,74410,161,54.8,0.1,1792,193,1.3,0.1,35395,408,26.1,0.3,2101,208,1.5,0.2,114,46,0.1,0.1,148,140,0.1,0.1,3174,482,2.3,0.4,113,79,0.1,0.1,3061,469,2.3,0.3,63890,366,(X),(X),135817,*****,135817,(X),67166,155,49.5,0.1,68651,155,50.5,0.1,8581,138,6.3,0.1,8547,491,6.3,0.4,8184,477,6,0.4,14046,664,10.3,0.5,17159,651,12.6,0.5,18125,155,13.3,0.1,15278,116,11.2,0.1,16588,89,12.2,0.1,8725,422,6.4,0.3,7103,415,5.2,0.3,8504,74,6.3,0.1,3743,191,2.8,0.1,1234,183,0.9,0.1,31,0.2,(X),(X),105148,193,77.4,0.1,92055,768,67.8,0.6,17504,355,12.9,0.3,13481,78,9.9,0.1,105148,193,105148,(X),51486,186,49,0.1,53662
0500000US04007,"Gila County, Arizona",56,50.6,0.1,13183,21,13183,(X),6316,13,47.9,0.1,6867,17,52.1,0.1,53242,*****,53242,(X),52013,309,97.7,0.6,1229,309,2.3,0.6,52013,309,97.7,0.6,42170,390,79.2,0.7,319,103,0.6,0.2,7896,208,14.8,0.4,22,31,0,0.1,0,30,0,0.1,340,147,0.6,0.3,39,46,0.1,0.1,326,64,0.6,0.1,25,36,0,0.1,81,86,0.2,0.2,128,86,0.2,0.2,10,16,0,0.1,0,30,0,0.1,20,37,0,0.1,62,79,0.1,0.1,8,15,0,0.1,8,15,0,0.1,0,30,0,0.1,0,30,0,0.1,0,30,0,0.1,1294,384,2.4,0.7,1229,309,2.3,0.6,144,85,0.3,0.2,718,215,1.3,0.4,74,66,0.1,0.1,20,22,0,0.1,53242,*****,53242,(X),43362,418,81.4,0.8,560,107,1.1,0.2,8709,181,16.4,0.3,423,24,0.8,0.1,15,15,0,0.1,1483,401,2.8,0.8,53242,*****,53242,(X),9807,*****,18.4,*****,8546,374,16.1,0.7,43,63,0.1,0.1,19,24,0,0.1,1199,359,2.3,0.7,43435,*****,81.6,*****,34203,110,64.2,0.2,280,83,0.5,0.2,7839,201,14.7,0.4,326,64,0.6,0.1,8,15,0,0.1,0,30,0,0.1,779,283,1.5,0.5,70,110,0.1,0.2,709,242,1.3,0.5,32925,176,(X),(X),53242,*****,53242,(X),26542,67,49.9,0.1,26700,67,50.1,0.1,3037,29,5.7,0.1,2857,264,5.4,0.5,3238,267,6.1,0.5,3069,173,5.8,0.3,2722,176,5.1,0.3,4730,67,8.9,0.1,4876,74,9.2,0.1,6915,58,13,0.1,4484,388,8.4,0.7,4131,388,7.8,0.7,7761,54,14.6,0.1,4029,240,7.6,0.5,1393,236,2.6,0.4,48,0.3,(X),(X),42207,62,79.3,0.1,40631,237,76.3,0.4,15544,317,29.2,0.6,13183,21,24.8,0.1,42207,62,42207,(X),20856,80,49.4,0.1,21351
0500000US04009,"Graham County, Arizona",91,45.1,0.4,4408,17,4408,(X),2033,13,46.1,0.2,2375,9,53.9,0.2,37311,*****,37311,(X),36463,304,97.7,0.8,848,304,2.3,0.8,36463,304,97.7,0.8,28436,462,76.2,1.2,798,64,2.1,0.2,5209,173,14,0.5,0,27,0,0.1,0,27,0,0.1,422,187,1.1,0.5,25,24,0.1,0.1,186,60,0.5,0.2,0,27,0,0.1,45,47,0.1,0.1,43,47,0.1,0.1,16,20,0,0.1,0,27,0,0.1,56,53,0.2,0.1,26,31,0.1,0.1,58,57,0.2,0.2,12,14,0,0.1,0,27,0,0.1,0,27,0,0.1,46,55,0.1,0.1,1776,417,4.8,1.1,848,304,2.3,0.8,42,50,0.1,0.1,413,253,1.1,0.7,79,60,0.2,0.2,17,26,0,0.1,37311,*****,37311,(X),29215,449,78.3,1.2,889,87,2.4,0.2,5671,269,15.2,0.7,304,35,0.8,0.1,125,97,0.3,0.3,1987,428,5.3,1.1,37311,*****,37311,(X),11672,*****,31.3,*****,10982,245,29.4,0.7,50,48,0.1,0.1,44,64,0.1,0.2,596,242,1.6,0.6,25639,*****,68.7,*****,19402,23,52,0.1,739,50,2,0.1,4952,121,13.3,0.3,186,60,0.5,0.2,39,35,0.1,0.1,16,23,0,0.1,305,143,0.8,0.4,0,27,0,0.1,305,143,0.8,0.4,13096,187,(X),(X),37311,*****,37311,(X),20023,102,53.7,0.3,17288,102,46.3,0.3,3009,33,8.1,0.1,2798,219,7.5,0.6,2993,219,8,0.6,2803,96,7.5,0.3,3181,123,8.5,0.3,5410,67,14.5,0.2,4576,60,12.3,0.2,4320,76,11.6,0.2,2071,194,5.6,0.5,1742,196,4.7,0.5,2507,32,6.7,0.1,1384,126,3.7,0.3,517,119,1.4,0.3,32,0.4,(X),(X),26883,60,72.1,0.2,24995,165,67,0.4,5485,165,14.7,0.4,4408,17,11.8,0.1,26883,60,26883,(X),14755,125,54.9,0.4,12128
0500000US04011,"Greenlee County, Arizona",29,48.3,0.5,1036,17,1036,(X),484,12,46.7,0.7,552,11,53.3,0.7,8800,*****,8800,(X),8562,106,97.3,1.2,238,106,2.7,1.2,8562,106,97.3,1.2,7590,195,86.3,2.2,125,18,1.4,0.2,272,72,3.1,0.8,0,18,0,0.4,0,18,0,0.4,140,92,1.6,1,0,18,0,0.4,21,23,0.2,0.3,3,7,0,0.1,9,14,0.1,0.2,0,18,0,0.4,0,18,0,0.4,0,18,0,0.4,0,18,0,0.4,9,15,0.1,0.2,0,18,0,0.4,0,18,0,0.4,0,18,0,0.4,0,18,0,0.4,0,18,0,0.4,554,176,6.3,2,238,106,2.7,1.2,9,18,0.1,0.2,46,47,0.5,0.5,5,9,0.1,0.1,0,18,0,0.4,8800,*****,8800,(X),7821,189,88.9,2.1,134,18,1.5,0.4,325,51,3.7,0.6,26,23,0.3,0.3,0,18,0,0.4,732,186,8.3,2.1,8800,*****,8800,(X),4161,*****,47.3,*****,3919,102,44.5,1.2,0,18,0,0.4,6,9,0.1,0.1,236,102,2.7,1.2,4639,*****,52.7,*****,4163,39,47.3,0.4,125,18,1.4,0.2,231,58,2.6,0.7,21,23,0.2,0.3,0,18,0,0.4,37,39,0.4,0.4,62,52,0.7,0.6,7,12,0.1,0.1,55,50,0.6,0.6,4395,34,(X),(X),8800,*****,8800,(X),4652,57,52.9,0.7,4148,57,47.1,0.7,622,20,7.1,0.2,759,111,8.6,1.3,682,114,7.8,1.3,646,69,7.3,0.8,517,66,5.9,0.7,1335,55,15.2,0.6,1172,104,13.3,1.2,981,101,11.1,1.1,555,74,6.3,0.8,495,80,5.6,0.9,525,31,6,0.4,418,48,4.8,0.5,93,37,1.1,0.4,33.5,0.8,(X),(X),6282,27,71.4,0.3,6046,75,68.7,0.9,1287,59,14.6,0.7,1036,17,11.8,0.2,6282,27,6282,(X),3245,39,51.7,0.5,3037
0500000US04012,"La Paz County, Arizona",30,49,0.2,7001,16,7001,(X),3667,8,52.4,0.1,3334,9,47.6,0.1,20348,*****,20348,(X),20018,124,98.4,0.6,330,124,1.6,0.6,20018,124,98.4,0.6,14617,425,71.8,2.1,49,39,0.2,0.2,2761,157,13.6,0.8,33,49,0.2,0.2,12,18,0.1,0.1,136,62,0.7,0.3,8,12,0,0.1,143,10,0.7,0.1,0,24,0,0.2,32,33,0.2,0.2,79,39,0.4,0.2,0,24,0,0.2,14,17,0.1,0.1,0,24,0,0.2,18,22,0.1,0.1,37,30,0.2,0.1,23,24,0.1,0.1,0,24,0,0.2,0,24,0,0.2,14,18,0.1,0.1,2411,442,11.8,2.2,330,124,1.6,0.6,23,27,0.1,0.1,223,93,1.1,0.5,0,24,0,0.2,6,8,0,0.1,20348,*****,20348,(X),14903,449,73.2,2.2,78,49,0.4,0.2,3021,159,14.8,0.8,150,15,0.7,0.1,37,30,0.2,0.1,2489,439,12.2,2.2,20348,*****,20348,(X),5037,*****,24.8,*****,4776,130,23.5,0.6,49,52,0.2,0.3,24,30,0.1,0.1,188,111,0.9,0.5,15311,*****,75.2,*****,12396,24,60.9,0.2,49,39,0.2,0.2,2513,92,12.4,0.5,140,24,0.7,0.2,37,30,0.2,0.1,0,24,0,0.2,176,77,0.9,0.4,0,24,0,0.2,176,77,0.9,0.4,16113,64,(X),(X),20348,*****,20348,(X),10396,42,51.1,0.2,9952,42,48.9,0.2,953,6,4.7,0.1,1058,106,5.2,0.5,952,108,4.7,0.5,930,134,4.6,0.7,837,136,4.1,0.7,1690,181,8.3,0.9,1564,105,7.7,0.5,2301,75,11.3,0.4,1331,270,6.5,1.3,1731,275,8.5,1.3,4112,44,20.2,0.2,2177,282,10.7,1.4,712,288,3.5,1.4,54.6,0.2,(X),(X),16791,19,82.5,0.1,16337,176,80.3,0.9,8128,205,39.9,1,7001,16,34.4,0.1,16791,19,16791,(X),8557,25,51,0.2,8234
0500000US04013,"Maricopa County, Arizona",*****,51.1,*****,513536,*****,513536,(X),229595,*****,44.7,*****,283941,*****,55.3,*****,3947382,*****,3947382,(X),3829007,4603,97,0.1,118375,4603,3,0.1,3829007,4603,97,0.1,3162279,9152,80.1,0.2,203650,2412,5.2,0.1,74454,2142,1.9,0.1,1841,496,0,0.1,848,410,0,0.1,27094,1838,0.7,0.1,1225,427,0,0.1,144749,1732,3.7,0.1,34810,1868,0.9,0.1,27132,1984,0.7,0.1,26613,1708,0.7,0.1,5760,770,0.1,0.1,11022,1133,0.3,0.1,20204,1891,0.5,0.1,19208,1762,0.5,0.1,8138,496,0.2,0.1,2217,501,0.1,0.1,1246,350,0,0.1,1481,440,0,0.1,3194,671,0.1,0.1,235737,7653,6,0.2,118375,4603,3,0.1,27397,1945,0.7,0.1,20174,1780,0.5,0.1,26013,1554,0.7,0.1,3209,770,0.1,0.1,3947382,*****,3947382,(X),3263531,9015,82.7,0.2,243676,2256,6.2,0.1,106104,2387,2.7,0.1,182316,1240,4.6,0.1,16168,853,0.4,0.1,263226,8447,6.7,0.2,3947382,*****,3947382,(X),1181100,*****,29.9,*****,1059199,3714,26.8,0.1,22593,1765,0.6,0.1,8639,985,0.2,0.1,90669,3414,2.3,0.1,2766282,*****,70.1,*****,2281134,658,57.8,0.1,192604,1997,4.9,0.1,60987,1280,1.5,0.1,142261,1664,3.6,0.1,7641,437,0.2,0.1,4654,727,0.1,0.1,77001,3134,2,0.1,2996,616,0.1,0.1,74005,3057,1.9,0.1,1657753,768,(X),(X),3947382,*****,3947382,(X),1951241,*****,49.4,*****,1996141,*****,50.6,*****,275242,*****,7,*****,285385,2880,7.2,0.1,283451,2881,7.2,0.1,273494,63,6.9,0.1,279218,63,7.1,0.1,558791,*****,14.2,*****,533824,*****,13.5,*****,516327,*****,13.1,*****,224976,2479,5.7,0.1,203138,2479,5.1,0.1,290795,63,7.4,0.1,159128,1333,4,0.1,63613,1331,1.6,0.1,35.3,0.1,(X),(X),2935903,*****,74.4,*****,2771212,1602,70.2,0.1,632895,2272,16,0.1,513536,*****,13,*****,2935903,*****,2935903,(X),1434868,*****,48.9,*****,1501035
0500000US04015,"Mohave County, Arizona",63,49.9,0.1,50721,118,50721,(X),25084,107,49.5,0.1,25637,56,50.5,0.1,202482,*****,202482,(X),195380,889,96.5,0.4,7102,889,3.5,0.4,195380,889,96.5,0.4,180836,1279,89.3,0.6,2193,286,1.1,0.1,3832,384,1.9,0.2,115,70,0.1,0.1,10,15,0,0.1,328,110,0.2,0.1,108,71,0.1,0.1,2365,299,1.2,0.1,109,159,0.1,0.1,801,352,0.4,0.2,643,259,0.3,0.1,186,100,0.1,0.1,260,229,0.1,0.1,160,127,0.1,0.1,206,137,0.1,0.1,341,105,0.2,0.1,42,54,0,0.1,78,64,0,0.1,221,106,0.1,0.1,0,30,0,0.1,5813,1051,2.9,0.5,7102,889,3.5,0.4,844,195,0.4,0.1,3690,722,1.8,0.4,660,273,0.3,0.1,128,103,0.1,0.1,202482,*****,202482,(X),187273,1050,92.5,0.5,3261,242,1.6,0.1,7924,695,3.9,0.3,3566,289,1.8,0.1,955,233,0.5,0.1,6934,1169,3.4,0.6,202482,*****,202482,(X),31101,*****,15.4,*****,27338,672,13.5,0.3,540,346,0.3,0.2,123,77,0.1,0.1,3100,563,1.5,0.3,171381,*****,84.6,*****,159353,106,78.7,0.1,1890,212,0.9,0.1,3140,319,1.6,0.2,2182,221,1.1,0.1,291,85,0.1,0.1,95,102,0,0.1,4430,486,2.2,0.2,53,41,0,0.1,4377,485,2.2,0.2,111581,612,(X),(X),202482,*****,202482,(X),101778,219,50.3,0.1,100704,219,49.7,0.1,10072,134,5,0.1,10686,528,5.3,0.3,11856,558,5.9,0.3,10964,152,5.4,0.1,10107,190,5,0.1,19147,151,9.5,0.1,19702,207,9.7,0.1,27123,211,13.4,0.1,15986,742,7.9,0.4,16118,740,8,0.4,30261,113,14.9,0.1,15673,481,7.7,0.2,4787,481,2.4,0.2,48.6,0.1,(X),(X),162808,91,80.4,0.1,157097,346,77.6,0.2,60855,607,30.1,0.3,50721,118,25,0.1,162808,91,162808,(X),81607,66,50.1,0.1,81201
0500000US04017,"Navajo County, Arizona",45,50.3,0.1,15642,29,15642,(X),7322,19,46.8,0.1,8320,27,53.2,0.1,107489,*****,107489,(X),104435,458,97.2,0.4,3054,458,2.8,0.4,104435,458,97.2,0.4,52875,664,49.2,0.6,601,134,0.6,0.1,46892,614,43.6,0.6,71,91,0.1,0.1,30,35,0,0.1,26944,1135,25.1,1.1,86,77,0.1,0.1,565,139,0.5,0.1,60,60,0.1,0.1,115,86,0.1,0.1,156,101,0.1,0.1,44,56,0,0.1,39,35,0,0.1,31,35,0,0.1,120,119,0.1,0.1,273,204,0.3,0.2,51,41,0,0.1,140,163,0.1,0.2,0,30,0,0.1,82,125,0.1,0.1,3229,566,3,0.5,3054,458,2.8,0.4,206,109,0.2,0.1,1675,375,1.6,0.3,128,98,0.1,0.1,202,99,0.2,0.1,107489,*****,107489,(X),55366,738,51.5,0.7,1101,232,1,0.2,49079,490,45.7,0.5,953,117,0.9,0.1,488,264,0.5,0.2,3849,631,3.6,0.6,107489,*****,107489,(X),11779,*****,11,*****,10039,471,9.3,0.4,269,204,0.3,0.2,13,18,0,0.1,1458,411,1.4,0.4,95710,*****,89,*****,46229,13,43,0.1,467,128,0.4,0.1,45906,493,42.7,0.5,565,139,0.5,0.1,273,204,0.3,0.2,20,23,0,0.1,2250,429,2.1,0.4,146,105,0.1,0.1,2104,399,2,0.4,57214,140,(X),(X),107489,*****,107489,(X),53627,101,49.9,0.1,53862,101,50.1,0.1,8219,52,7.6,0.1,8501,326,7.9,0.3,8796,325,8.2,0.3,8409,101,7.8,0.1,7205,87,6.7,0.1,12035,53,11.2,0.1,11490,40,10.7,0.1,13781,61,12.8,0.1,7338,348,6.8,0.3,6073,345,5.6,0.3,9655,27,9,0.1,4541,183,4.2,0.2,1446,181,1.3,0.2,35.4,0.1,(X),(X),76651,*****,71.3,*****,72086,259,67.1,0.2,19038,321,17.7,0.3,15642,29,14.6,0.1,76651,*****,76651,(X),38074,45,49.7,0.1,38577
