GEO_ID,NAME,DP05_0001E,DP05_0001M,DP05_0001PE,DP05_0001PM,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0004E,DP05_0004M,DP05_0004PE,DP05_0004PM,DP05_0005E,DP05_0005M,DP05_0005PE,DP05_0005PM,DP05_0006E,DP05_0006M,DP05_0006PE,DP05_0006PM,DP05_0007E,DP05_0007M,DP05_0007PE,DP05_0007PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM,DP05_0009E,DP05_0009M,DP05_0009PE,DP05_0009PM,DP05_0010E,DP05_0010M,DP05_0010PE,DP05_0010PM,DP05_0011E,DP05_0011M,DP05_0011PE,DP05_0011PM,DP05_0012E,DP05_0012M,DP05_0012PE,DP05_0012PM,DP05_0013E,DP05_0013M,DP05_0013PE,DP05_0013PM,DP05_0014E,DP05_0014M,DP05_0014PE,DP05_0014PM,DP05_0015E,DP05_0015M,DP05_0015PE,DP05_0015PM,DP05_0016E,DP05_0016M,DP05_0016PE,DP05_0016PM,DP05_0017E,DP05_0017M,DP05_0017PE,DP05_0017PM,DP05_0018E,DP05_0018M,DP05_0018PE,DP05_0018PM,DP05_0019E,DP05_0019M,DP05_0019PE,DP05_0019PM,DP05_0020E,DP05_0020M,DP05_0020PE,DP05_0020PM,DP05_0021E,DP05_0021M,DP05_0021PE,DP05_0021PM,DP05_0022E,DP05_0022M,DP05_0022PE,DP05_0022PM,DP05_0023E,DP05_0023M,DP05_0023PE,DP05_0023PM,DP05_0024E,DP05_0024M,DP05_0024PE,DP05_0024PM,DP05_0025E,DP05_0025M,DP05_0025PE,DP05_0025PM,DP05_0026E,DP05_0026M,DP05_0026PE,DP05_0026PM,DP05_0027E,DP05_0027M,DP05_0027PE,DP05_0027PM,DP05_0028E,DP05_0028M,DP05_0028PE,DP05_0028PM,DP05_0029E,DP05_0029M,DP05_0029PE,DP05_0029PM,DP05_0030E,DP05_0030M,DP05_0030PE,DP05_0030PM,DP05_0031E,DP05_0031M,DP05_0031PE,DP05_0031PM,DP05_0032E,DP05_0032M,DP05_0032PE,DP05_0032PM,DP05_0033E,DP05_0033M,DP05_0033PE,DP05_0033PM,DP05_0034E,DP05_0034M,DP05_0034PE,DP05_0034PM,DP05_0035E,DP05_0035M,DP05_0035PE,DP05_0035PM,DP05_0036E,DP05_0036M,DP05_0036PE,DP05_0036PM,DP05_0037E,DP05_0037M,DP05_0037PE,DP05_0037PM,DP05_0038E,DP05_0038M,DP05_0038PE,DP05_0038PM,DP05_0039E,DP05_0039M,DP05_0039PE,DP05_0039PM,DP05_0040E,DP05_0040M,DP05_0040PE,DP05_0040PM,DP05_0041E,DP05_0041M,DP05_0041PE,DP05_0041PM,DP05_0042E,DP05_0042M,DP05_0042PE,DP05_0042PM,DP05_0043E,DP05_0043M,DP05_0043PE,DP05_0043PM,DP05_0044E,DP05_0044M,DP05_0044PE,DP05_0044PM,DP05_0045E,DP05_0045M,DP05_0045PE,DP05_0045PM,DP05_0046E,DP05_0046M,DP05_0046PE,DP05_0046PM,DP05_0047E,DP05_0047M,DP05_0047PE,DP05_0047PM,DP05_0048E,DP05_0048M,DP05_0048PE,DP05_0048PM,DP05_0049E,DP05_0049M,DP05_0049PE,DP05_0049PM,DP05_0050E,DP05_0050M,DP05_0050PE,DP05_0050PM,DP05_0051E,DP05_0051M,DP05_0051PE,DP05_0051PM,DP05_0052E,DP05_0052M,DP05_0052PE,DP05_0052PM,DP05_0053E,DP05_0053M,DP05_0053PE,DP05_0053PM,DP05_0054E,DP05_0054M,DP05_0054PE,DP05_0054PM,DP05_0055E,DP05_0055M,DP05_0055PE,DP05_0055PM,DP05_0056E,DP05_0056M,DP05_0056PE,DP05_0056PM,DP05_0057E,DP05_0057M,DP05_0057PE,DP05_0057PM,DP05_0058E,DP05_0058M,DP05_0058PE,DP05_0058PM,DP05_0059E,DP05_0059M,DP05_0059PE,DP05_0059PM,DP05_0060E,DP05_0060M,DP05_0060PE,DP05_0060PM,DP05_0061E,DP05_0061M,DP05_0061PE,DP05_0061PM,DP05_0062E,DP05_0062M,DP05_0062PE,DP05_0062PM,DP05_0063E,DP05_0063M,DP05_0063PE,DP05_0063PM,DP05_0064E,DP05_0064M,DP05_0064PE,DP05_0064PM,DP05_0065E,DP05_0065M,DP05_0065PE,DP05_0065PM,DP05_0066E,DP05_0066M,DP05_0066PE,DP05_0066PM,DP05_0067E,DP05_0067M,DP05_0067PE,DP05_0067PM,DP05_0068E,DP05_0068M,DP05_0068PE,DP05_0068PM,DP05_0069E,DP05_0069M,DP05_0069PE,DP05_0069PM,DP05_0070E,DP05_0070M,DP05_0070PE,DP05_0070PM,DP05_0071E,DP05_0071M,DP05_0071PE,DP05_0071PM,DP05_0072E,DP05_0072M,DP05_0072PE,DP05_0072PM,DP05_0073E,DP05_0073M,DP05_0073PE,DP05_0073PM,DP05_0074E,DP05_0074M,DP05_0074PE,DP05_0074PM,DP05_0075E,DP05_0075M,DP05_0075PE,DP05_0075PM,DP05_0076E,DP05_0076M,DP05_0076PE,DP05_0076PM,DP05_0077E,DP05_0077M,DP05_0077PE,DP05_0077PM,DP05_0078E,DP05_0078M,DP05_0078PE,DP05_0078PM,DP05_0079E,DP05_0079M,DP05_0079PE,DP05_0079PM,DP05_0080E,DP05_0080M,DP05_0080PE,DP05_0080PM,DP05_0081E,DP05_0081M,DP05_0081PE,DP05_0081PM,DP05_0082E,DP05_0082M,DP05_0082PE,DP05_0082PM,DP05_0083E,DP05_0083M,DP05_0083PE,DP05_0083PM,DP05_0084E,DP05_0084M,DP05_0084PE,DP05_0084PM
0500000US04001,"Apache County, Arizona",72346,*****,72346,(X),35740,140,49.4,0.2,36606,140,50.6,0.2,5285,103,7.3,0.1,5873,264,8.1,0.4,6209,268,8.6,0.4,6408,142,8.9,0.2,4914,137,6.8,0.2,8563,95,11.8,0.1,7793,113,10.8,0.2,9140,124,12.6,0.2,4481,243,6.2,0.3,4042,254,5.6,0.4,5721,90,7.9,0.1,2893,191,4,0.3,1024,191,1.4,0.3,33.5,0.2,(X),(X),51155,48,70.7,0.1,47346,180,65.4,0.2,11842,231,16.4,0.3,9638,86,13.3,0.1,51155,48,51155,(X),25195,71,49.3,0.1,25960,52,50.7,0.1,9638,86,9638,(X),4427,15,45.9,0.4,5211,83,54.1,0.4,72346,*****,72346,(X),70633,428,97.6,0.6,1713,428,2.4,0.6,70633,428,97.6,0.6,16307,297,22.5,0.4,361,116,0.5,0.2,52978,343,73.2,0.5,38,49,0.1,0.1,10,14,0,0.1,50530,478,69.8,0.7,32,28,0,0.1,259,53,0.4,0.1,93,59,0.1,0.1,5,6,0,0.1,59,35,0.1,0.1,0,28,0,0.1,31,30,0,0.1,39,32,0.1,0.1,32,40,0,0.1,81,64,0.1,0.1,21,23,0,0.1,10,14,0,0.1,0,28,0,0.1,50,59,0.1,0.1,647,219,0.9,0.3,1713,428,2.4,0.6,247,144,0.3,0.2,795,240,1.1,0.3,39,41,0.1,0.1,202,71,0.3,0.1,72346,*****,72346,(X),17685,441,24.4,0.6,943,229,1.3,0.3,54189,191,74.9,0.3,393,33,0.5,0.1,162,76,0.2,0.1,837,236,1.2,0.3,72346,*****,72346,(X),4303,*****,5.9,*****,3307,300,4.6,0.4,67,48,0.1,0.1,53,56,0.1,0.1,876,290,1.2,0.4,68043,*****,94.1,*****,13436,6,18.6,0.1,352,114,0.5,0.2,52597,297,72.7,0.4,259,53,0.4,0.1,64,60,0.1,0.1,36,36,0,0.1,1299,323,1.8,0.4,36,49,0,0.1,1263,327,1.7,0.5,32725,102,(X),(X),50380,117,50380,(X),24660,114,48.9,0.1,25720,65,51.1,0.1
0500000US04003,"Cochise County, Arizona",128177,*****,128177,(X),65281,152,50.9,0.1,62896,152,49.1,0.1,7948,105,6.2,0.1,7711,451,6,0.4,8163,452,6.4,0.4,8258,133,6.4,0.1,7926,150,6.2,0.1,16743,198,13.1,0.2,13662,182,10.7,0.1,15295,147,11.9,0.1,8049,371,6.3,0.3,9099,364,7.1,0.3,14680,87,11.5,0.1,8080,376,6.3,0.3,2563,356,2,0.3,40.3,0.3,(X),(X),99603,*****,77.7,*****,94172,354,73.5,0.3,30686,409,23.9,0.3,25323,68,19.8,0.1,99603,*****,99603,(X),50799,41,51,0.1,48804,41,49,0.1,25323,68,25323,(X),12138,68,47.9,0.1,13185,2,52.1,0.1,128177,*****,128177,(X),121934,749,95.1,0.6,6243,749,4.9,0.6,121934,749,95.1,0.6,106136,1174,82.8,0.9,5076,340,4,0.3,1496,266,1.2,0.2,147,93,0.1,0.1,20,31,0,0.1,384,171,0.3,0.1,10,20,0,0.1,2250,261,1.8,0.2,86,78,0.1,0.1,99,68,0.1,0.1,568,188,0.4,0.1,210,103,0.2,0.1,627,185,0.5,0.1,453,203,0.4,0.2,207,97,0.2,0.1,399,86,0.3,0.1,73,65,0.1,0.1,173,141,0.1,0.1,0,28,0,0.1,153,142,0.1,0.1,6577,1042,5.1,0.8,6243,749,4.9,0.6,1157,303,0.9,0.2,1683,384,1.3,0.3,800,215,0.6,0.2,50,42,0,0.1,128177,*****,128177,(X),111287,1156,86.8,0.9,7223,324,5.6,0.3,3410,494,2.7,0.4,4198,355,3.3,0.3,1021,277,0.8,0.2,7828,1088,6.1,0.8,128177,*****,128177,(X),44097,*****,34.4,*****,39027,817,30.4,0.6,2060,555,1.6,0.4,214,129,0.2,0.1,2796,587,2.2,0.5,84080,*****,65.6,*****,72163,110,56.3,0.1,4761,296,3.7,0.2,1047,145,0.8,0.1,2219,257,1.7,0.2,363,64,0.3,0.1,166,132,0.1,0.1,3361,409,2.6,0.3,75,44,0.1,0.1,3286,411,2.6,0.3,60401,513,(X),(X),92913,484,92913,(X),47750,334,51.4,0.3,45163,339,48.6,0.3
0500000US04005,"Coconino County, Arizona",138064,*****,138064,(X),68229,150,49.4,0.1,69835,150,50.6,0.1,8128,136,5.9,0.1,8469,540,6.1,0.4,8213,518,5.9,0.4,14139,301,10.2,0.2,18793,241,13.6,0.2,18337,173,13.3,0.1,15065,125,10.9,0.1,15667,122,11.3,0.1,8670,446,6.3,0.3,7570,446,5.5,0.3,9598,87,7,0.1,4070,231,2.9,0.2,1345,232,1,0.2,30.7,0.1,(X),(X),107969,42,78.2,0.1,94669,536,68.6,0.4,19342,414,14,0.3,15013,87,10.9,0.1,107969,42,107969,(X),52809,70,48.9,0.1,55160,64,51.1,0.1,15013,87,15013,(X),7100,52,47.3,0.2,7913,55,52.7,0.2,138064,*****,138064,(X),133335,661,96.6,0.5,4729,661,3.4,0.5,133335,661,96.6,0.5,87335,823,63.3,0.6,2136,210,1.5,0.2,37054,617,26.8,0.4,36,43,0,0.1,17,20,0,0.1,32673,858,23.7,0.6,21,22,0,0.1,2430,266,1.8,0.2,205,115,0.1,0.1,781,252,0.6,0.2,351,144,0.3,0.1,244,147,0.2,0.1,137,96,0.1,0.1,205,252,0.1,0.2,507,243,0.4,0.2,178,64,0.1,0.1,129,64,0.1,0.1,0,28,0,0.1,0,28,0,0.1,49,54,0,0.1,4202,757,3,0.5,4729,661,3.4,0.5,445,191,0.3,0.1,2098,449,1.5,0.3,756,216,0.5,0.2,95,93,0.1,0.1,138064,*****,138064,(X),91303,986,66.1,0.7,2782,195,2,0.1,39407,509,28.5,0.4,3437,136,2.5,0.1,935,438,0.7,0.3,5088,803,3.7,0.6,138064,*****,138064,(X),18930,*****,13.7,*****,15104,699,10.9,0.5,816,491,0.6,0.4,139,100,0.1,0.1,2871,512,2.1,0.4,119134,*****,86.3,*****,75410,243,54.6,0.2,1854,174,1.3,0.1,35829,387,26,0.3,2315,235,1.7,0.2,153,54,0.1,0.1,258,199,0.2,0.1,3315,487,2.4,0.4,148,143,0.1,0.1,3167,501,2.3,0.4,64435,602,(X),(X),104266,558,104266,(X),50825,366,48.7,0.2,53441,327,51.3,0.2
0500000US04007,"Gila County, Arizona",53179,*****,53179,(X),26432,104,49.7,0.2,26747,104,50.3,0.2,3036,35,5.7,0.1,2812,202,5.3,0.4,3208,218,6,0.4,2825,147,5.3,0.3,2741,144,5.2,0.3,4920,88,9.3,0.2,4600,94,8.7,0.2,6431,84,12.1,0.2,4408,358,8.3,0.7,4160,338,7.8,0.6,8283,47,15.6,0.1,4398,231,8.3,0.4,1357,225,2.6,0.4,48.9,0.4,(X),(X),42351,80,79.6,0.2,40874,209,76.9,0.4,16426,301,30.9,0.6,14038,35,26.4,0.1,42351,80,42351,(X),20860,101,49.3,0.2,21491,99,50.7,0.2,14038,35,14038,(X),6751,10,48.1,0.1,7287,34,51.9,0.1,53179,*****,53179,(X),51796,295,97.4,0.6,1383,295,2.6,0.6,51796,295,97.4,0.6,41812,506,78.6,1,332,105,0.6,0.2,8249,202,15.5,0.4,40,42,0.1,0.1,0,28,0,0.1,273,100,0.5,0.2,25,33,0,0.1,418,60,0.8,0.1,47,62,0.1,0.1,109,112,0.2,0.2,161,102,0.3,0.2,13,19,0,0.1,0,28,0,0.1,0,28,0,0.1,88,96,0.2,0.2,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,985,427,1.9,0.8,1383,295,2.6,0.6,120,89,0.2,0.2,908,231,1.7,0.4,91,74,0.2,0.1,38,38,0.1,0.1,53179,*****,53179,(X),43147,510,81.1,1,514,87,1,0.2,9221,174,17.3,0.3,545,64,1,0.1,0,28,0,0.1,1175,455,2.2,0.9,53179,*****,53179,(X),9864,*****,18.5,*****,8625,337,16.2,0.6,42,44,0.1,0.1,27,31,0.1,0.1,1170,331,2.2,0.6,43315,*****,81.5,*****,33621,112,63.2,0.2,294,82,0.6,0.2,8132,187,15.3,0.4,404,55,0.8,0.1,0,28,0,0.1,0,28,0,0.1,864,237,1.6,0.4,71,112,0.1,0.2,793,218,1.5,0.4,33138,109,(X),(X),41289,250,41289,(X),20455,138,49.5,0.3,20834,187,50.5,0.3
0500000US04009,"Graham County, Arizona",37529,*****,37529,(X),20148,93,53.7,0.2,17381,93,46.3,0.2,2897,44,7.7,0.1,2962,226,7.9,0.6,2864,232,7.6,0.6,2820,104,7.5,0.3,2990,116,8,0.3,5593,69,14.9,0.2,4702,91,12.5,0.2,4219,71,11.2,0.2,1897,179,5.1,0.5,1963,191,5.2,0.5,2657,32,7.1,0.1,1438,108,3.8,0.3,527,109,1.4,0.3,32.4,0.4,(X),(X),27083,81,72.2,0.2,25262,201,67.3,0.5,5821,170,15.5,0.5,4622,20,12.3,0.1,27083,81,27083,(X),14833,113,54.8,0.3,12250,78,45.2,0.3,4622,20,4622,(X),2139,16,46.3,0.2,2483,12,53.7,0.2,37529,*****,37529,(X),36549,286,97.4,0.8,980,286,2.6,0.8,36549,286,97.4,0.8,29600,381,78.9,1,741,97,2,0.3,4941,232,13.2,0.6,0,25,0,0.1,0,25,0,0.1,472,195,1.3,0.5,13,24,0,0.1,265,33,0.7,0.1,0,25,0,0.1,52,50,0.1,0.1,46,42,0.1,0.1,28,35,0.1,0.1,0,25,0,0.1,65,54,0.2,0.1,74,55,0.2,0.1,49,33,0.1,0.1,30,30,0.1,0.1,0,25,0,0.1,0,25,0,0.1,19,22,0.1,0.1,953,303,2.5,0.8,980,286,2.6,0.8,67,70,0.2,0.2,584,275,1.6,0.7,26,28,0.1,0.1,12,21,0,0.1,37529,*****,37529,(X),30483,394,81.2,1,826,67,2.2,0.2,5567,232,14.8,0.6,337,54,0.9,0.1,119,78,0.3,0.2,1179,344,3.1,0.9,37529,*****,37529,(X),12046,*****,32.1,*****,11315,334,30.2,0.9,136,117,0.4,0.3,0,25,0,0.1,595,277,1.6,0.7,25483,*****,67.9,*****,19313,22,51.5,0.1,680,71,1.8,0.2,4741,209,12.6,0.6,265,33,0.7,0.1,49,33,0.1,0.1,13,22,0,0.1,422,222,1.1,0.6,0,25,0,0.1,422,222,1.1,0.6,13268,167,(X),(X),25961,194,25961,(X),13893,179,53.5,0.4,12068,102,46.5,0.4
0500000US04011,"Greenlee County, Arizona",9224,*****,9224,(X),4905,70,53.2,0.8,4319,70,46.8,0.8,672,32,7.3,0.3,825,94,8.9,1,657,94,7.1,1,768,85,8.3,0.9,530,95,5.7,1,1369,59,14.8,0.6,1173,62,12.7,0.7,1089,74,11.8,0.8,549,79,6,0.9,529,84,5.7,0.9,499,66,5.4,0.7,458,72,5,0.8,106,41,1.1,0.4,33.3,0.7,(X),(X),6610,15,71.7,0.2,6199,89,67.2,1,1338,69,14.5,0.8,1063,10,11.5,0.1,6610,15,6610,(X),3399,30,51.4,0.4,3211,25,48.6,0.4,1063,10,1063,(X),512,8,48.2,0.5,551,6,51.8,0.5,9224,*****,9224,(X),9130,72,99,0.8,94,72,1,0.8,9130,72,99,0.8,8333,130,90.3,1.4,175,17,1.9,0.2,351,69,3.8,0.8,0,17,0,0.4,0,17,0,0.4,95,105,1,1.1,0,17,0,0.4,51,41,0.6,0.4,3,8,0,0.1,6,12,0.1,0.1,27,31,0.3,0.3,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,15,23,0.2,0.3,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,220,110,2.4,1.2,94,72,1,0.8,5,8,0.1,0.1,7,12,0.1,0.1,8,12,0.1,0.1,0,17,0,0.4,9224,*****,9224,(X),8423,115,91.3,1.2,180,19,2,0.2,362,69,3.9,0.8,59,43,0.6,0.5,0,17,0,0.4,294,124,3.2,1.3,9224,*****,9224,(X),4290,*****,46.5,*****,4125,93,44.7,1,5,7,0.1,0.1,0,17,0,0.4,160,93,1.7,1,4934,*****,53.5,*****,4407,17,47.8,0.4,164,17,1.8,0.4,301,43,3.3,0.5,51,41,0.6,0.4,0,17,0,0.4,0,17,0,0.4,11,16,0.1,0.2,4,7,0,0.1,7,12,0.1,0.1,4424,23,(X),(X),6356,92,6356,(X),3269,68,51.4,0.6,3087,51,48.6,0.6
0500000US04012,"La Paz County, Arizona",20304,*****,20304,(X),10366,49,51.1,0.2,9938,49,48.9,0.2,961,21,4.7,0.1,1063,126,5.2,0.6,921,127,4.5,0.6,1015,164,5,0.8,975,144,4.8,0.7,1585,209,7.8,1,1521,122,7.5,0.6,2087,59,10.3,0.3,1344,262,6.6,1.3,1511,268,7.4,1.3,3972,28,19.6,0.1,2719,311,13.4,1.5,630,312,3.1,1.5,55.1,0.2,(X),(X),16792,26,82.7,0.1,16214,198,79.9,1,8487,290,41.8,1.4,7321,5,36.1,0.1,16792,26,16792,(X),8519,30,50.7,0.1,8273,24,49.3,0.1,7321,5,7321,(X),3807,8,52,0.1,3514,4,48,0.1,20304,*****,20304,(X),19830,147,97.7,0.7,474,147,2.3,0.7,19830,147,97.7,0.7,15274,463,75.2,2.3,77,56,0.4,0.3,2683,167,13.2,0.8,26,23,0.1,0.1,13,19,0.1,0.1,171,70,0.8,0.3,7,11,0,0.1,148,23,0.7,0.1,18,28,0.1,0.1,22,30,0.1,0.1,84,46,0.4,0.2,0,22,0,0.2,3,7,0,0.1,0,22,0,0.2,21,25,0.1,0.1,48,48,0.2,0.2,48,48,0.2,0.2,0,22,0,0.2,0,22,0,0.2,0,22,0,0.2,1600,471,7.9,2.3,474,147,2.3,0.7,38,34,0.2,0.2,302,124,1.5,0.6,22,27,0.1,0.1,37,29,0.2,0.1,20304,*****,20304,(X),15680,488,77.2,2.4,152,81,0.7,0.4,3053,161,15,0.8,170,17,0.8,0.1,48,48,0.2,0.2,1675,465,8.2,2.3,20304,*****,20304,(X),5316,*****,26.2,*****,5006,154,24.7,0.8,37,25,0.2,0.1,26,31,0.1,0.2,247,140,1.2,0.7,14988,*****,73.8,*****,11956,22,58.9,0.2,77,56,0.4,0.3,2449,125,12.1,0.6,141,22,0.7,0.1,48,48,0.2,0.2,0,22,0,0.2,317,109,1.6,0.5,0,22,0,0.2,317,109,1.6,0.5,16234,50,(X),(X),15243,290,15243,(X),7685,188,50.4,0.7,7558,175,49.6,0.7
0500000US04013,"Maricopa County, Arizona",4088549,*****,4088549,(X),2021817,*****,49.5,*****,2066732,*****,50.5,*****,276150,*****,6.8,*****,289790,2312,7.1,0.1,286719,2312,7,0.1,278790,*****,6.8,*****,284690,*****,7,*****,581921,*****,14.2,*****,542527,*****,13.3,*****,528640,*****,12.9,*****,236785,2492,5.8,0.1,216770,2492,5.3,0.1,326526,60,8,0.1,169609,1448,4.1,0.1,69632,1447,1.7,0.1,35.8,0.1,(X),(X),3064628,*****,75,*****,2897881,1802,70.9,0.1,693877,2293,17,0.1,565767,*****,13.8,*****,3064628,*****,3064628,(X),1499119,*****,48.9,*****,1565509,*****,51.1,*****,565767,*****,565767,(X),254355,*****,45,*****,311412,*****,55,*****,4088549,*****,4088549,(X),3954026,3867,96.7,0.1,134523,3867,3.3,0.1,3954026,3867,96.7,0.1,3214001,7703,78.6,0.2,216064,2217,5.3,0.1,77142,1830,1.9,0.1,1668,388,0,0.1,593,214,0,0.1,27940,1791,0.7,0.1,938,326,0,0.1,157074,1840,3.8,0.1,41515,2197,1,0.1,28971,1539,0.7,0.1,27625,1675,0.7,0.1,6148,744,0.2,0.1,10691,1062,0.3,0.1,21993,1802,0.5,0.1,20131,1981,0.5,0.1,8425,525,0.2,0.1,1948,362,0,0.1,1577,385,0,0.1,1265,435,0,0.1,3635,688,0.1,0.1,281320,7104,6.9,0.2,134523,3867,3.3,0.1,31438,2170,0.8,0.1,23744,1581,0.6,0.1,27843,1602,0.7,0.1,3906,923,0.1,0.1,4088549,*****,4088549,(X),3329160,7988,81.4,0.2,263129,1578,6.4,0.1,114492,1869,2.8,0.1,198199,1253,4.8,0.1,17818,1054,0.4,0.1,312071,7481,7.6,0.2,4088549,*****,4088549,(X),1238292,*****,30.3,*****,1100750,4144,26.9,0.1,26519,1836,0.6,0.1,9710,1289,0.2,0.1,101313,3386,2.5,0.1,2850257,*****,69.7,*****,2327125,741,56.9,0.1,204984,2087,5,0.1,63011,1097,1.5,0.1,153811,1762,3.8,0.1,7856,457,0.2,0.1,5123,730,0.1,0.1,88347,2843,2.2,0.1,3449,646,0.1,0.1,84898,2832,2.1,0.1,1680412,708,(X),(X),2723563,4824,2723563,(X),1327849,3069,48.8,0.1,1395714,2687,51.2,0.1
0500000US04015,"Mohave County, Arizona",203629,*****,203629,(X),102473,161,50.3,0.1,101156,161,49.7,0.1,9409,4,4.6,0.1,10514,552,5.2,0.3,11246,531,5.5,0.3,10607,161,5.2,0.1,9944,130,4.9,0.1,19963,159,9.8,0.1,19354,121,9.5,0.1,25520,102,12.5,0.1,15996,665,7.9,0.3,16384,640,8,0.3,32261,133,15.8,0.1,17073,520,8.4,0.3,5358,475,2.6,0.2,49.7,0.1,(X),(X),165580,73,81.3,0.1,159980,301,78.6,0.1,64718,586,31.8,0.3,54692,136,26.9,0.1,165580,73,165580,(X),83224,84,50.3,0.1,82356,104,49.7,0.1,54692,136,54692,(X),27138,113,49.6,0.1,27554,66,50.4,0.1,203629,*****,203629,(X),198078,655,97.3,0.3,5551,655,2.7,0.3,198078,655,97.3,0.3,182395,1026,89.6,0.5,2100,241,1,0.1,4332,380,2.1,0.2,281,126,0.1,0.1,0,28,0,0.1,322,135,0.2,0.1,147,118,0.1,0.1,2551,244,1.3,0.1,286,223,0.1,0.1,646,330,0.3,0.2,733,183,0.4,0.1,176,80,0.1,0.1,280,202,0.1,0.1,81,80,0,0.1,349,159,0.2,0.1,279,111,0.1,0.1,43,37,0,0.1,32,46,0,0.1,204,131,0.1,0.1,0,28,0,0.1,6421,990,3.2,0.5,5551,655,2.7,0.3,814,241,0.4,0.1,2518,500,1.2,0.2,527,221,0.3,0.1,138,95,0.1,0.1,203629,*****,203629,(X),187313,1176,92,0.6,3271,212,1.6,0.1,7242,395,3.6,0.2,3471,264,1.7,0.1,742,125,0.4,0.1,7371,1030,3.6,0.5,203629,*****,203629,(X),31987,*****,15.7,*****,28095,563,13.8,0.3,482,185,0.2,0.1,229,119,0.1,0.1,3181,503,1.6,0.2,171642,*****,84.3,*****,159345,177,78.3,0.1,1938,201,1,0.1,3850,341,1.9,0.2,2339,184,1.1,0.1,279,111,0.1,0.1,215,184,0.1,0.1,3676,475,1.8,0.2,72,47,0,0.1,3604,473,1.8,0.2,112617,464,(X),(X),157932,768,157932,(X),79062,622,50.1,0.2,78870,422,49.9,0.2
0500000US04017,"Navajo County, Arizona",108209,*****,108209,(X),54271,96,50.2,0.1,53938,96,49.8,0.1,8039,119,7.4,0.1,8652,362,8,0.3,8288,350,7.7,0.3,8298,166,7.7,0.2,6867,135,6.3,0.1,12775,181,11.8,0.2,11467,97,10.6,0.1,13000,64,12,0.1,7358,333,6.8,0.3,6427,338,5.9,0.3,10493,85,9.7,0.1,4938,181,4.6,0.2,1607,177,1.5,0.2,35.8,0.2,(X),(X),78002,24,72.1,0.1,73440,247,67.9,0.2,20657,292,19.1,0.3,17038,91,15.7,0.1,78002,24,78002,(X),38793,70,49.7,0.1,39209,70,50.3,0.1,17038,91,17038,(X),7956,44,46.7,0.2,9082,61,53.3,0.2,108209,*****,108209,(X),104685,428,96.7,0.4,3524,428,3.3,0.4,104685,428,96.7,0.4,51614,567,47.7,0.5,905,143,0.8,0.1,47599,418,44,0.4,87,94,0.1,0.1,75,63,0.1,0.1,26956,867,24.9,0.8,142,143,0.1,0.1,659,102,0.6,0.1,72,66,0.1,0.1,69,82,0.1,0.1,165,71,0.2,0.1,77,64,0.1,0.1,63,77,0.1,0.1,82,77,0.1,0.1,131,108,0.1,0.1,100,33,0.1,0.1,17,28,0,0.1,17,22,0,0.1,0,28,0,0.1,66,59,0.1,0.1,3808,618,3.5,0.6,3524,428,3.3,0.4,523,126,0.5,0.1,1823,352,1.7,0.3,157,92,0.1,0.1,246,108,0.2,0.1,108209,*****,108209,(X),54582,653,50.4,0.6,1816,165,1.7,0.2,49998,327,46.2,0.3,990,98,0.9,0.1,213,54,0.2,0.1,4361,635,4,0.6,108209,*****,108209,(X),11957,*****,11,*****,10338,362,9.6,0.3,215,131,0.2,0.1,100,96,0.1,0.1,1304,341,1.2,0.3,96252,*****,89,*****,45369,147,41.9,0.1,728,125,0.7,0.1,46709,328,43.2,0.3,659,102,0.6,0.1,100,33,0.1,0.1,123,148,0.1,0.1,2564,366,2.4,0.3,110,88,0.1,0.1,2454,342,2.3,0.3,57554,110,(X),(X),76282,362,76282,(X),37679,253,49.4,0.2,38603,192,50.6,0.2
