year,county,office,candidate,party,candidatevotes,totalvotes
2006,Apache,Senate,Jim Pederson,democrat,11402,18763
2006,Apache,Senate,Jon Kyl,republican,6530,18763
2006,Cochise,Senate,Jim Pederson,democrat,14849,36345
2006,Cochise,Senate,Jon Kyl,republican,20194,36345
2006,Coconino,Senate,Jim Pederson,democrat,20610,38062
2006,Coconino,Senate,Jon Kyl,republican,16003,38062
2006,Gila,Senate,Jim Pederson,democrat,6643,16688
2006,Gila,Senate,Jon Kyl,republican,9512,16688
2006,Graham,Senate,Jim Pederson,democrat,2194,7837
2006,Graham,Senate,Jon Kyl,republican,5127,7837
2006,Greenlee,Senate,Jim Pederson,democrat,942,2129
2006,Greenlee,Senate,Jon Kyl,republican,1068,2129
2006,La Paz,Senate,Jim Pederson,democrat,1457,3833
2006,La Paz,Senate,Jon Kyl,republican,2203,3833
2006,Maricopa,Senate,Jim Pederson,democrat,364661,883119
2006,Maricopa,Senate,Jon Kyl,republican,491721,883119
2006,Mohave,Senate,Jim Pederson,democrat,16998,45944
2006,Mohave,Senate,Jon Kyl,republican,26964,45944
2006,Navajo,Senate,Jim Pederson,democrat,11785,26663
2006,Navajo,Senate,Jon Kyl,republican,13927,26663
2006,Pima,Senate,Jim Pederson,democrat,144275,281202
2006,Pima,Senate,Jon Kyl,republican,128987,281202
2006,Pinal,Senate,Jim Pederson,democrat,24790,57005
2006,Pinal,Senate,Jon Kyl,republican,30379,57005
2006,Santa Cruz,Senate,Jim Pederson,democrat,4892,8156
2006,Santa Cruz,Senate,Jon Kyl,republican,3067,8156
2006,Yavapai,Senate,Jim Pederson,democrat,26340,72408
2006,Yavapai,Senate,Jon Kyl,republican,43219,72408
2006,Yuma,Senate,Jim Pederson,democrat,12303,28628
2006,Yuma,Senate,Jon Kyl,republican,15497,28628
2010,Apache,Senate,Rodney Glassman,democrat,11785,20556
2010,Apache,Senate,John McCain,republican,7371,20556
2010,Cochise,Senate,Rodney Glassman,democrat,13119,39615
2010,Cochise,Senate,John McCain,republican,23445,39615
2010,Coconino,Senate,Rodney Glassman,democrat,17164,38624
2010,Coconino,Senate,John McCain,republican,18995,38624
2010,Gila,Senate,Rodney Glassman,democrat,4858,17700
2010,Gila,Senate,John McCain,republican,11500,17700
2010,Graham,Senate,Rodney Glassman,democrat,2194,9053
2010,Graham,Senate,John McCain,republican,6223,9053
2010,Greenlee,Senate,Rodney Glassman,democrat,947,2418
2010,Greenlee,Senate,John McCain,republican,1321,2418
2010,La Paz,Senate,Rodney Glassman,democrat,1085,4463
2010,La Paz,Senate,John McCain,republican,3003,4463
